timestamp,Iopv
15:12.0,3.855
18:39.0,3.855
18:57.0,3.855
19:33.0,3.855
21:06.0,3.855
22:00.0,3.855
22:09.0,3.855
22:18.0,3.855
23:03.0,3.855
23:21.0,3.855
23:30.0,3.855
23:48.0,3.855
24:06.0,3.855
24:15.0,3.855
24:33.0,3.855
24:42.0,3.855
25:00.0,3.855
25:03.0,3.855
25:15.0,3.886
30:03.0,3.886
30:06.0,3.886
30:09.0,3.886
30:12.0,3.886
30:15.0,3.888
30:18.0,3.888
30:21.0,3.888
30:24.0,3.888
30:27.0,3.888
30:30.0,3.889
30:33.0,3.889
30:36.0,3.889
30:39.0,3.889
30:42.0,3.889
30:45.0,3.889
30:48.0,3.889
30:51.0,3.889
30:54.0,3.889
30:57.0,3.889
31:00.0,3.886
31:03.0,3.886
31:06.0,3.886
31:09.0,3.886
31:12.0,3.886
31:15.0,3.886
31:18.0,3.884
31:21.0,3.884
31:24.0,3.884
31:27.0,3.884
31:30.0,3.884
31:33.0,3.883
31:36.0,3.883
31:39.0,3.883
31:42.0,3.883
31:45.0,3.883
31:48.0,3.883
31:51.0,3.883
31:54.0,3.883
31:57.0,3.883
32:00.0,3.883
32:03.0,3.885
32:06.0,3.885
32:09.0,3.885
32:12.0,3.885
32:15.0,3.885
32:18.0,3.885
32:21.0,3.885
32:24.0,3.885
32:27.0,3.885
32:30.0,3.885
32:33.0,3.885
32:36.0,3.885
32:39.0,3.885
32:42.0,3.885
32:45.0,3.885
32:48.0,3.886
32:51.0,3.886
32:54.0,3.886
32:57.0,3.886
33:00.0,3.886
33:03.0,3.887
33:06.0,3.887
33:09.0,3.887
33:12.0,3.887
33:15.0,3.887
33:18.0,3.887
33:21.0,3.887
33:24.0,3.887
33:27.0,3.887
33:30.0,3.887
33:33.0,3.885
33:36.0,3.885
33:39.0,3.885
33:42.0,3.885
33:45.0,3.885
33:48.0,3.884
33:51.0,3.884
33:54.0,3.884
33:57.0,3.884
34:00.0,3.884
34:03.0,3.883
34:06.0,3.883
34:09.0,3.883
34:12.0,3.883
34:15.0,3.883
34:18.0,3.884
34:21.0,3.884
34:24.0,3.884
34:27.0,3.884
34:30.0,3.884
34:33.0,3.884
34:36.0,3.884
34:39.0,3.884
34:42.0,3.884
34:45.0,3.884
34:48.0,3.883
34:51.0,3.883
34:54.0,3.883
34:57.0,3.883
35:00.0,3.883
35:03.0,3.883
35:06.0,3.883
35:09.0,3.883
35:12.0,3.883
35:15.0,3.883
35:18.0,3.882
35:21.0,3.882
35:24.0,3.882
35:27.0,3.882
35:30.0,3.882
35:33.0,3.883
35:36.0,3.883
35:39.0,3.883
35:42.0,3.883
35:45.0,3.883
35:48.0,3.884
35:51.0,3.884
35:54.0,3.884
35:57.0,3.884
36:00.0,3.884
36:03.0,3.884
36:06.0,3.884
36:09.0,3.884
36:12.0,3.884
36:15.0,3.884
36:18.0,3.882
36:21.0,3.882
36:24.0,3.882
36:27.0,3.882
36:30.0,3.882
36:33.0,3.88
36:36.0,3.88
36:39.0,3.88
36:42.0,3.88
36:45.0,3.88
36:48.0,3.88
36:51.0,3.88
36:54.0,3.88
36:57.0,3.88
37:00.0,3.88
37:03.0,3.88
37:06.0,3.88
37:09.0,3.88
37:12.0,3.88
37:15.0,3.88
37:18.0,3.88
37:21.0,3.88
37:24.0,3.88
37:27.0,3.88
37:30.0,3.88
37:33.0,3.88
37:36.0,3.879
37:39.0,3.879
37:42.0,3.879
37:45.0,3.879
37:48.0,3.879
37:51.0,3.878
37:54.0,3.878
37:57.0,3.878
38:00.0,3.878
38:03.0,3.878
38:06.0,3.878
38:09.0,3.878
38:12.0,3.878
38:15.0,3.878
38:18.0,3.878
38:21.0,3.877
38:24.0,3.877
38:27.0,3.877
38:30.0,3.877
38:33.0,3.877
38:36.0,3.878
38:39.0,3.878
38:42.0,3.878
38:45.0,3.878
38:48.0,3.878
38:51.0,3.879
38:54.0,3.879
38:57.0,3.879
39:00.0,3.879
39:03.0,3.879
39:06.0,3.879
39:09.0,3.879
39:12.0,3.879
39:15.0,3.879
39:18.0,3.879
39:21.0,3.88
39:24.0,3.88
39:27.0,3.88
39:30.0,3.88
39:33.0,3.88
39:36.0,3.881
39:39.0,3.881
39:42.0,3.881
39:45.0,3.881
39:48.0,3.881
39:51.0,3.882
39:54.0,3.882
39:57.0,3.882
40:00.0,3.882
40:03.0,3.882
40:06.0,3.882
40:09.0,3.882
40:12.0,3.882
40:15.0,3.882
40:18.0,3.882
40:21.0,3.882
40:24.0,3.882
40:27.0,3.882
40:30.0,3.882
40:33.0,3.882
40:36.0,3.88
40:39.0,3.88
40:42.0,3.88
40:45.0,3.88
40:48.0,3.88
40:51.0,3.88
40:54.0,3.88
40:57.0,3.88
41:00.0,3.88
41:03.0,3.88
41:06.0,3.878
41:09.0,3.878
41:12.0,3.878
41:15.0,3.878
41:18.0,3.878
41:21.0,3.878
41:24.0,3.878
41:27.0,3.878
41:30.0,3.878
41:33.0,3.878
41:36.0,3.879
41:39.0,3.879
41:42.0,3.879
41:45.0,3.879
41:48.0,3.879
41:51.0,3.878
41:54.0,3.878
41:57.0,3.878
42:00.0,3.878
42:03.0,3.878
42:06.0,3.878
42:09.0,3.878
42:12.0,3.878
42:15.0,3.878
42:18.0,3.878
42:21.0,3.877
42:24.0,3.877
42:27.0,3.877
42:30.0,3.877
42:33.0,3.877
42:36.0,3.877
42:39.0,3.877
42:42.0,3.877
42:45.0,3.877
42:48.0,3.877
42:51.0,3.877
42:54.0,3.877
42:57.0,3.877
43:00.0,3.877
43:03.0,3.877
43:06.0,3.876
43:09.0,3.876
43:12.0,3.876
43:15.0,3.876
43:18.0,3.876
43:21.0,3.875
43:24.0,3.875
43:27.0,3.875
43:30.0,3.875
43:33.0,3.875
43:36.0,3.877
43:39.0,3.877
43:42.0,3.877
43:45.0,3.877
43:48.0,3.877
43:51.0,3.877
43:54.0,3.878
43:57.0,3.878
44:00.0,3.878
44:03.0,3.878
44:06.0,3.878
44:09.0,3.879
44:12.0,3.879
44:15.0,3.879
44:18.0,3.879
44:21.0,3.879
44:24.0,3.879
44:27.0,3.879
44:30.0,3.879
44:33.0,3.879
44:36.0,3.879
44:39.0,3.879
44:42.0,3.879
44:45.0,3.879
44:48.0,3.879
44:51.0,3.879
44:54.0,3.879
44:57.0,3.879
45:00.0,3.879
45:03.0,3.879
45:06.0,3.879
45:09.0,3.879
45:12.0,3.879
45:15.0,3.879
45:18.0,3.879
45:21.0,3.879
45:24.0,3.88
45:27.0,3.88
45:30.0,3.88
45:33.0,3.88
45:36.0,3.88
45:39.0,3.88
45:42.0,3.88
45:45.0,3.88
45:48.0,3.88
45:51.0,3.88
45:54.0,3.881
45:57.0,3.881
46:00.0,3.881
46:03.0,3.881
46:06.0,3.881
46:09.0,3.881
46:12.0,3.881
46:15.0,3.881
46:18.0,3.881
46:21.0,3.881
46:24.0,3.882
46:27.0,3.882
46:30.0,3.882
46:33.0,3.882
46:36.0,3.882
46:39.0,3.884
46:42.0,3.884
46:45.0,3.884
46:48.0,3.884
46:51.0,3.884
46:54.0,3.885
46:57.0,3.885
47:00.0,3.885
47:03.0,3.885
47:06.0,3.885
47:09.0,3.887
47:12.0,3.887
47:15.0,3.887
47:18.0,3.887
47:21.0,3.887
47:24.0,3.891
47:27.0,3.891
47:30.0,3.891
47:33.0,3.891
47:36.0,3.891
47:39.0,3.891
47:42.0,3.891
47:45.0,3.891
47:48.0,3.891
47:51.0,3.891
47:54.0,3.891
47:57.0,3.891
48:00.0,3.891
48:03.0,3.891
48:06.0,3.891
48:09.0,3.892
48:12.0,3.892
48:15.0,3.892
48:18.0,3.892
48:21.0,3.892
48:24.0,3.893
48:27.0,3.893
48:30.0,3.893
48:33.0,3.893
48:36.0,3.893
48:39.0,3.893
48:42.0,3.893
48:45.0,3.893
48:48.0,3.893
48:51.0,3.893
48:54.0,3.894
48:57.0,3.894
49:00.0,3.894
49:03.0,3.894
49:06.0,3.894
49:09.0,3.894
49:12.0,3.895
49:15.0,3.895
49:18.0,3.895
49:21.0,3.895
49:24.0,3.895
49:27.0,3.896
49:30.0,3.896
49:33.0,3.896
49:36.0,3.896
49:39.0,3.896
49:42.0,3.896
49:45.0,3.896
49:48.0,3.896
49:51.0,3.896
49:54.0,3.896
49:57.0,3.894
50:00.0,3.894
50:03.0,3.894
50:06.0,3.894
50:09.0,3.894
50:12.0,3.894
50:15.0,3.894
50:18.0,3.894
50:21.0,3.894
50:24.0,3.894
50:27.0,3.895
50:30.0,3.895
50:33.0,3.895
50:36.0,3.895
50:39.0,3.895
50:42.0,3.895
50:45.0,3.895
50:48.0,3.895
50:51.0,3.895
50:54.0,3.895
50:57.0,3.895
51:00.0,3.895
51:03.0,3.895
51:06.0,3.895
51:09.0,3.895
51:12.0,3.894
51:15.0,3.894
51:18.0,3.894
51:21.0,3.894
51:24.0,3.894
51:27.0,3.893
51:30.0,3.893
51:33.0,3.893
51:36.0,3.893
51:39.0,3.893
51:42.0,3.893
51:45.0,3.893
51:48.0,3.893
51:51.0,3.893
51:54.0,3.893
51:57.0,3.893
52:00.0,3.893
52:03.0,3.893
52:06.0,3.893
52:09.0,3.893
52:12.0,3.893
52:15.0,3.893
52:18.0,3.893
52:21.0,3.893
52:24.0,3.893
52:27.0,3.893
52:30.0,3.893
52:33.0,3.893
52:36.0,3.893
52:39.0,3.893
52:42.0,3.894
52:45.0,3.894
52:48.0,3.894
52:51.0,3.894
52:54.0,3.894
52:57.0,3.895
53:00.0,3.895
53:03.0,3.895
53:06.0,3.895
53:09.0,3.895
53:12.0,3.895
53:15.0,3.895
53:18.0,3.895
53:21.0,3.895
53:24.0,3.895
53:27.0,3.896
53:30.0,3.896
53:33.0,3.896
53:36.0,3.896
53:39.0,3.896
53:42.0,3.895
53:45.0,3.895
53:48.0,3.895
53:51.0,3.895
53:54.0,3.895
53:57.0,3.893
54:00.0,3.893
54:03.0,3.893
54:06.0,3.893
54:09.0,3.893
54:12.0,3.893
54:15.0,3.893
54:18.0,3.893
54:21.0,3.893
54:24.0,3.893
54:27.0,3.893
54:30.0,3.893
54:33.0,3.893
54:36.0,3.893
54:39.0,3.893
54:42.0,3.892
54:45.0,3.892
54:48.0,3.892
54:51.0,3.892
54:54.0,3.892
54:57.0,3.892
55:00.0,3.891
55:03.0,3.891
55:06.0,3.891
55:09.0,3.891
55:12.0,3.891
55:15.0,3.891
55:18.0,3.891
55:21.0,3.891
55:24.0,3.891
55:27.0,3.891
55:30.0,3.891
55:33.0,3.891
55:36.0,3.891
55:39.0,3.891
55:42.0,3.891
55:45.0,3.891
55:48.0,3.891
55:51.0,3.891
55:54.0,3.891
55:57.0,3.891
56:00.0,3.893
56:03.0,3.893
56:06.0,3.893
56:09.0,3.893
56:12.0,3.893
56:15.0,3.893
56:18.0,3.893
56:21.0,3.893
56:24.0,3.893
56:27.0,3.893
56:30.0,3.893
56:33.0,3.893
56:36.0,3.893
56:39.0,3.893
56:42.0,3.893
56:45.0,3.894
56:48.0,3.894
56:51.0,3.894
56:54.0,3.894
56:57.0,3.894
57:00.0,3.896
57:03.0,3.896
57:06.0,3.896
57:09.0,3.896
57:12.0,3.896
57:15.0,3.897
57:18.0,3.897
57:21.0,3.897
57:24.0,3.897
57:27.0,3.897
57:30.0,3.896
57:33.0,3.896
57:36.0,3.896
57:39.0,3.896
57:42.0,3.896
57:45.0,3.897
57:48.0,3.897
57:51.0,3.897
57:54.0,3.897
57:57.0,3.897
58:00.0,3.896
58:03.0,3.896
58:06.0,3.896
58:09.0,3.896
58:12.0,3.896
58:15.0,3.896
58:18.0,3.896
58:21.0,3.896
58:24.0,3.896
58:27.0,3.896
58:30.0,3.897
58:33.0,3.897
58:36.0,3.897
58:39.0,3.897
58:42.0,3.897
58:45.0,3.897
58:48.0,3.897
58:51.0,3.897
58:54.0,3.897
58:57.0,3.897
59:00.0,3.897
59:03.0,3.897
59:06.0,3.897
59:09.0,3.897
59:12.0,3.897
59:15.0,3.897
59:18.0,3.897
59:21.0,3.897
59:24.0,3.897
59:27.0,3.897
59:30.0,3.897
59:33.0,3.897
59:36.0,3.897
59:39.0,3.897
59:42.0,3.897
59:45.0,3.897
59:48.0,3.897
59:51.0,3.897
59:54.0,3.897
59:57.0,3.897
00:00.0,3.897
00:03.0,3.897
00:06.0,3.897
00:09.0,3.897
00:12.0,3.897
00:15.0,3.897
00:18.0,3.897
00:21.0,3.897
00:24.0,3.897
00:27.0,3.897
00:30.0,3.897
