timestamp,iopv,time,date,iopv_lag
9:15:12 AM,3.855,9:15:12 AM,4/17/2020,
9:25:15 AM,3.886,9:25:15 AM,4/17/2020,3.855
9:30:15 AM,3.888,9:30:15 AM,4/17/2020,3.886
9:30:30 AM,3.889,9:30:30 AM,4/17/2020,3.888
9:31:00 AM,3.886,9:31:00 AM,4/17/2020,3.889
9:31:18 AM,3.884,9:31:18 AM,4/17/2020,3.886
9:31:33 AM,3.883,9:31:33 AM,4/17/2020,3.884
9:32:03 AM,3.885,9:32:03 AM,4/17/2020,3.883
9:32:48 AM,3.886,9:32:48 AM,4/17/2020,3.885
9:33:03 AM,3.887,9:33:03 AM,4/17/2020,3.886
9:33:33 AM,3.885,9:33:33 AM,4/17/2020,3.887
9:33:48 AM,3.884,9:33:48 AM,4/17/2020,3.885
9:34:03 AM,3.883,9:34:03 AM,4/17/2020,3.884
9:34:18 AM,3.884,9:34:18 AM,4/17/2020,3.883
9:34:48 AM,3.883,9:34:48 AM,4/17/2020,3.884
9:35:18 AM,3.882,9:35:18 AM,4/17/2020,3.883
9:35:33 AM,3.883,9:35:33 AM,4/17/2020,3.882
9:35:48 AM,3.884,9:35:48 AM,4/17/2020,3.883
9:36:18 AM,3.882,9:36:18 AM,4/17/2020,3.884
9:36:33 AM,3.88,9:36:33 AM,4/17/2020,3.882
9:37:36 AM,3.879,9:37:36 AM,4/17/2020,3.88
9:37:51 AM,3.878,9:37:51 AM,4/17/2020,3.879
9:38:21 AM,3.877,9:38:21 AM,4/17/2020,3.878
9:38:36 AM,3.878,9:38:36 AM,4/17/2020,3.877
9:38:51 AM,3.879,9:38:51 AM,4/17/2020,3.878
9:39:21 AM,3.88,9:39:21 AM,4/17/2020,3.879
9:39:36 AM,3.881,9:39:36 AM,4/17/2020,3.88
9:39:51 AM,3.882,9:39:51 AM,4/17/2020,3.881
9:40:36 AM,3.88,9:40:36 AM,4/17/2020,3.882
9:41:06 AM,3.878,9:41:06 AM,4/17/2020,3.88
9:41:36 AM,3.879,9:41:36 AM,4/17/2020,3.878
9:41:51 AM,3.878,9:41:51 AM,4/17/2020,3.879
9:42:21 AM,3.877,9:42:21 AM,4/17/2020,3.878
9:43:06 AM,3.876,9:43:06 AM,4/17/2020,3.877
9:43:21 AM,3.875,9:43:21 AM,4/17/2020,3.876
9:43:36 AM,3.877,9:43:36 AM,4/17/2020,3.875
9:43:54 AM,3.878,9:43:54 AM,4/17/2020,3.877
9:44:09 AM,3.879,9:44:09 AM,4/17/2020,3.878
9:45:24 AM,3.88,9:45:24 AM,4/17/2020,3.879
9:45:54 AM,3.881,9:45:54 AM,4/17/2020,3.88
9:46:24 AM,3.882,9:46:24 AM,4/17/2020,3.881
9:46:39 AM,3.884,9:46:39 AM,4/17/2020,3.882
9:46:54 AM,3.885,9:46:54 AM,4/17/2020,3.884
9:47:09 AM,3.887,9:47:09 AM,4/17/2020,3.885
9:47:24 AM,3.891,9:47:24 AM,4/17/2020,3.887
9:48:09 AM,3.892,9:48:09 AM,4/17/2020,3.891
9:48:24 AM,3.893,9:48:24 AM,4/17/2020,3.892
9:48:54 AM,3.894,9:48:54 AM,4/17/2020,3.893
9:49:12 AM,3.895,9:49:12 AM,4/17/2020,3.894
9:49:27 AM,3.896,9:49:27 AM,4/17/2020,3.895
9:49:57 AM,3.894,9:49:57 AM,4/17/2020,3.896
9:50:27 AM,3.895,9:50:27 AM,4/17/2020,3.894
9:51:12 AM,3.894,9:51:12 AM,4/17/2020,3.895
9:51:27 AM,3.893,9:51:27 AM,4/17/2020,3.894
9:52:42 AM,3.894,9:52:42 AM,4/17/2020,3.893
9:52:57 AM,3.895,9:52:57 AM,4/17/2020,3.894
9:53:27 AM,3.896,9:53:27 AM,4/17/2020,3.895
9:53:42 AM,3.895,9:53:42 AM,4/17/2020,3.896
9:53:57 AM,3.893,9:53:57 AM,4/17/2020,3.895
9:54:42 AM,3.892,9:54:42 AM,4/17/2020,3.893
9:55:00 AM,3.891,9:55:00 AM,4/17/2020,3.892
9:56:00 AM,3.893,9:56:00 AM,4/17/2020,3.891
9:56:45 AM,3.894,9:56:45 AM,4/17/2020,3.893
9:57:00 AM,3.896,9:57:00 AM,4/17/2020,3.894
9:57:15 AM,3.897,9:57:15 AM,4/17/2020,3.896
9:57:30 AM,3.896,9:57:30 AM,4/17/2020,3.897
