timeStamp,iopv,time,date,iopv_lag
15:12.0,3.855,9:15:12 AM,4/17/2020,
25:15.0,3.886,9:25:15 AM,4/17/2020,3.855
30:15.0,3.888,9:30:15 AM,4/17/2020,3.886
30:30.0,3.889,9:30:30 AM,4/17/2020,3.888
31:00.0,3.886,9:31:00 AM,4/17/2020,3.889
31:18.0,3.884,9:31:18 AM,4/17/2020,3.886
31:33.0,3.883,9:31:33 AM,4/17/2020,3.884
32:03.0,3.885,9:32:03 AM,4/17/2020,3.883
32:48.0,3.886,9:32:48 AM,4/17/2020,3.885
33:03.0,3.887,9:33:03 AM,4/17/2020,3.886
33:33.0,3.885,9:33:33 AM,4/17/2020,3.887
33:48.0,3.884,9:33:48 AM,4/17/2020,3.885
34:03.0,3.883,9:34:03 AM,4/17/2020,3.884
34:18.0,3.884,9:34:18 AM,4/17/2020,3.883
34:48.0,3.883,9:34:48 AM,4/17/2020,3.884
35:18.0,3.882,9:35:18 AM,4/17/2020,3.883
35:33.0,3.883,9:35:33 AM,4/17/2020,3.882
35:48.0,3.884,9:35:48 AM,4/17/2020,3.883
36:18.0,3.882,9:36:18 AM,4/17/2020,3.884
36:33.0,3.88,9:36:33 AM,4/17/2020,3.882
37:36.0,3.879,9:37:36 AM,4/17/2020,3.88
37:51.0,3.878,9:37:51 AM,4/17/2020,3.879
38:21.0,3.877,9:38:21 AM,4/17/2020,3.878
38:36.0,3.878,9:38:36 AM,4/17/2020,3.877
38:51.0,3.879,9:38:51 AM,4/17/2020,3.878
39:21.0,3.88,9:39:21 AM,4/17/2020,3.879
39:36.0,3.881,9:39:36 AM,4/17/2020,3.88
39:51.0,3.882,9:39:51 AM,4/17/2020,3.881
40:36.0,3.88,9:40:36 AM,4/17/2020,3.882
41:06.0,3.878,9:41:06 AM,4/17/2020,3.88
41:36.0,3.879,9:41:36 AM,4/17/2020,3.878
41:51.0,3.878,9:41:51 AM,4/17/2020,3.879
42:21.0,3.877,9:42:21 AM,4/17/2020,3.878
43:06.0,3.876,9:43:06 AM,4/17/2020,3.877
43:21.0,3.875,9:43:21 AM,4/17/2020,3.876
43:36.0,3.877,9:43:36 AM,4/17/2020,3.875
43:54.0,3.878,9:43:54 AM,4/17/2020,3.877
44:09.0,3.879,9:44:09 AM,4/17/2020,3.878
45:24.0,3.88,9:45:24 AM,4/17/2020,3.879
45:54.0,3.881,9:45:54 AM,4/17/2020,3.88
46:24.0,3.882,9:46:24 AM,4/17/2020,3.881
46:39.0,3.884,9:46:39 AM,4/17/2020,3.882
46:54.0,3.885,9:46:54 AM,4/17/2020,3.884
47:09.0,3.887,9:47:09 AM,4/17/2020,3.885
47:24.0,3.891,9:47:24 AM,4/17/2020,3.887
48:09.0,3.892,9:48:09 AM,4/17/2020,3.891
48:24.0,3.893,9:48:24 AM,4/17/2020,3.892
48:54.0,3.894,9:48:54 AM,4/17/2020,3.893
49:12.0,3.895,9:49:12 AM,4/17/2020,3.894
49:27.0,3.896,9:49:27 AM,4/17/2020,3.895
49:57.0,3.894,9:49:57 AM,4/17/2020,3.896
50:27.0,3.895,9:50:27 AM,4/17/2020,3.894
51:12.0,3.894,9:51:12 AM,4/17/2020,3.895
51:27.0,3.893,9:51:27 AM,4/17/2020,3.894
52:42.0,3.894,9:52:42 AM,4/17/2020,3.893
52:57.0,3.895,9:52:57 AM,4/17/2020,3.894
53:27.0,3.896,9:53:27 AM,4/17/2020,3.895
53:42.0,3.895,9:53:42 AM,4/17/2020,3.896
53:57.0,3.893,9:53:57 AM,4/17/2020,3.895
54:42.0,3.892,9:54:42 AM,4/17/2020,3.893
55:00.0,3.891,9:55:00 AM,4/17/2020,3.892
56:00.0,3.893,9:56:00 AM,4/17/2020,3.891
56:45.0,3.894,9:56:45 AM,4/17/2020,3.893
57:00.0,3.896,9:57:00 AM,4/17/2020,3.894
57:15.0,3.897,9:57:15 AM,4/17/2020,3.896
57:30.0,3.896,9:57:30 AM,4/17/2020,3.897
57:45.0,3.897,9:57:45 AM,4/17/2020,3.896
58:00.0,3.896,9:58:00 AM,4/17/2020,3.897
58:30.0,3.897,9:58:30 AM,4/17/2020,3.896
00:45.0,3.896,10:00:45 AM,4/17/2020,3.897
01:00.0,3.894,10:01:00 AM,4/17/2020,3.896
01:18.0,3.891,10:01:18 AM,4/17/2020,3.894
01:33.0,3.89,10:01:33 AM,4/17/2020,3.891
01:48.0,3.888,10:01:48 AM,4/17/2020,3.89
02:03.0,3.887,10:02:03 AM,4/17/2020,3.888
02:48.0,3.888,10:02:48 AM,4/17/2020,3.887
03:03.0,3.89,10:03:03 AM,4/17/2020,3.888
03:33.0,3.892,10:03:33 AM,4/17/2020,3.89
03:48.0,3.894,10:03:48 AM,4/17/2020,3.892
04:03.0,3.896,10:04:03 AM,4/17/2020,3.894
04:18.0,3.898,10:04:18 AM,4/17/2020,3.896
04:48.0,3.899,10:04:48 AM,4/17/2020,3.898
05:03.0,3.9,10:05:03 AM,4/17/2020,3.899
06:36.0,3.899,10:06:36 AM,4/17/2020,3.9
06:51.0,3.9,10:06:51 AM,4/17/2020,3.899
07:06.0,3.901,10:07:06 AM,4/17/2020,3.9
07:51.0,3.9,10:07:51 AM,4/17/2020,3.901
08:21.0,3.899,10:08:21 AM,4/17/2020,3.9
09:36.0,3.898,10:09:36 AM,4/17/2020,3.899
10:21.0,3.899,10:10:21 AM,4/17/2020,3.898
10:36.0,3.9,10:10:36 AM,4/17/2020,3.899
11:06.0,3.901,10:11:06 AM,4/17/2020,3.9
11:21.0,3.902,10:11:21 AM,4/17/2020,3.901
11:51.0,3.903,10:11:51 AM,4/17/2020,3.902
12:09.0,3.904,10:12:09 AM,4/17/2020,3.903
12:24.0,3.903,10:12:24 AM,4/17/2020,3.904
12:39.0,3.9,10:12:39 AM,4/17/2020,3.903
13:39.0,3.901,10:13:39 AM,4/17/2020,3.9
13:54.0,3.902,10:13:54 AM,4/17/2020,3.901
15:09.0,3.901,10:15:09 AM,4/17/2020,3.902
15:24.0,3.903,10:15:24 AM,4/17/2020,3.901
15:39.0,3.902,10:15:39 AM,4/17/2020,3.903
16:09.0,3.903,10:16:09 AM,4/17/2020,3.902
16:24.0,3.902,10:16:24 AM,4/17/2020,3.903
16:54.0,3.901,10:16:54 AM,4/17/2020,3.902
17:09.0,3.9,10:17:09 AM,4/17/2020,3.901
17:39.0,3.899,10:17:39 AM,4/17/2020,3.9
