timestamp,Iopv
15:02.2,2.757
15:05.2,2.757
15:08.1,2.757
15:11.1,2.757
15:14.1,2.757
15:47.1,2.757
15:50.1,2.757
15:56.1,2.757
15:59.1,2.757
16:08.1,2.757
16:11.1,2.757
16:17.1,2.757
16:20.1,2.757
16:23.1,2.757
16:26.1,2.757
16:35.1,2.757
16:38.1,2.757
16:59.1,2.757
17:11.1,2.757
17:14.1,2.757
17:17.1,2.757
17:26.1,2.757
17:38.1,2.757
17:47.1,2.757
17:56.1,2.757
18:05.1,2.757
18:08.1,2.757
18:14.1,2.757
18:17.1,2.757
18:23.1,2.757
18:26.1,2.757
18:29.1,2.757
18:32.1,2.757
18:35.1,2.757
18:38.1,2.757
18:47.1,2.757
18:56.1,2.757
18:59.1,2.757
19:02.1,2.757
19:05.1,2.757
19:08.1,2.757
19:23.1,2.757
19:26.1,2.757
19:35.3,2.757
19:38.1,2.757
19:47.1,2.757
19:50.1,2.757
19:53.1,2.757
19:59.1,2.757
20:14.1,2.757
20:20.1,2.757
20:23.1,2.757
20:26.1,2.757
20:32.1,2.757
20:35.1,2.757
20:38.1,2.757
20:41.1,2.757
20:44.1,2.757
20:47.1,2.757
20:53.1,2.757
20:56.1,2.757
20:59.1,2.757
21:02.1,2.757
21:05.1,2.757
21:08.1,2.757
21:14.1,2.757
21:17.1,2.757
21:20.1,2.757
21:26.1,2.757
21:29.1,2.757
21:32.1,2.757
21:35.1,2.757
21:38.1,2.757
21:41.1,2.757
21:44.1,2.757
21:50.1,2.757
21:53.1,2.757
21:56.1,2.757
21:59.1,2.757
22:02.1,2.757
22:11.1,2.757
22:17.1,2.757
22:20.1,2.757
22:23.1,2.757
22:26.1,2.757
22:29.1,2.757
22:32.1,2.757
22:35.1,2.757
22:41.1,2.757
22:47.1,2.757
22:50.1,2.757
22:56.1,2.757
22:59.1,2.757
23:02.1,2.757
23:05.1,2.757
23:08.1,2.757
23:11.1,2.757
23:14.1,2.757
23:17.1,2.757
23:20.1,2.757
23:23.1,2.757
23:29.1,2.757
23:32.1,2.757
23:35.1,2.757
23:38.1,2.757
23:41.1,2.757
23:44.1,2.757
23:47.1,2.757
23:50.1,2.757
23:53.1,2.757
23:56.1,2.757
24:02.1,2.757
24:05.1,2.757
24:08.1,2.757
24:11.1,2.757
24:14.1,2.757
24:17.1,2.757
24:20.1,2.757
24:23.1,2.757
24:26.1,2.757
24:29.1,2.757
24:32.1,2.757
24:35.1,2.757
24:38.1,2.757
24:41.1,2.757
24:44.1,2.757
24:47.1,2.757
24:50.1,2.757
24:53.1,2.757
24:56.1,2.757
24:59.1,2.757
25:06.0,2.777
25:11.0,2.778
30:02.1,2.778
30:05.2,2.779
30:08.2,2.779
30:11.1,2.779
30:14.1,2.779
30:17.1,2.78
30:20.1,2.78
30:23.1,2.78
30:26.1,2.78
30:29.1,2.779
30:32.1,2.779
30:35.1,2.779
30:38.1,2.779
30:41.1,2.779
30:44.1,2.778
30:47.1,2.778
30:50.1,2.777
30:53.1,2.777
30:56.1,2.777
30:59.1,2.777
31:02.1,2.777
31:04.0,2.776
31:05.1,2.776
31:08.1,2.776
31:11.1,2.776
31:14.1,2.776
31:17.1,2.776
31:20.1,2.776
31:23.1,2.776
31:26.1,2.776
31:29.1,2.776
31:32.1,2.775
31:35.1,2.775
31:38.1,2.775
31:41.1,2.776
31:44.1,2.776
31:47.1,2.776
31:50.1,2.776
31:53.1,2.776
31:56.1,2.776
31:59.1,2.776
32:02.1,2.776
32:05.3,2.776
32:08.1,2.776
32:11.1,2.777
32:14.1,2.777
32:17.1,2.776
32:20.1,2.776
32:23.1,2.776
32:26.1,2.777
32:29.2,2.777
32:32.1,2.777
32:35.1,2.777
32:38.1,2.777
32:41.1,2.777
32:44.1,2.777
32:47.1,2.778
32:50.1,2.778
32:53.1,2.778
32:56.1,2.778
32:59.1,2.778
33:02.2,2.778
33:05.2,2.778
33:08.1,2.778
33:11.1,2.777
33:14.2,2.778
33:17.1,2.777
33:20.1,2.777
33:23.1,2.777
33:26.1,2.777
33:29.1,2.776
33:32.2,2.776
33:35.1,2.776
33:38.1,2.776
33:41.1,2.775
33:44.1,2.775
33:47.1,2.776
33:50.1,2.776
33:53.1,2.776
33:56.1,2.776
33:59.1,2.776
34:02.1,2.775
34:05.2,2.776
34:08.1,2.776
34:11.1,2.776
34:14.1,2.776
34:17.1,2.776
34:20.2,2.776
34:23.1,2.776
34:26.1,2.776
34:29.1,2.776
34:32.1,2.776
34:35.1,2.776
34:38.1,2.776
34:41.1,2.776
34:44.1,2.776
34:47.1,2.775
34:50.1,2.776
34:53.1,2.776
34:56.1,2.775
34:59.1,2.775
35:02.1,2.774
35:05.1,2.775
35:08.1,2.775
35:11.1,2.775
35:14.2,2.775
35:17.1,2.775
35:20.1,2.775
35:23.1,2.775
35:26.1,2.775
35:29.2,2.775
35:32.1,2.775
35:35.2,2.775
35:38.1,2.775
35:41.1,2.776
35:44.2,2.775
35:47.2,2.775
35:50.2,2.775
35:53.2,2.775
35:56.2,2.775
35:59.1,2.774
36:02.2,2.774
36:05.1,2.774
36:08.3,2.774
36:11.2,2.774
36:14.1,2.774
36:17.2,2.773
36:20.2,2.774
36:23.2,2.774
36:26.2,2.774
36:29.2,2.774
36:32.1,2.773
36:35.1,2.773
36:38.2,2.773
36:41.2,2.772
36:44.1,2.772
36:47.1,2.773
36:50.2,2.774
36:53.1,2.774
36:56.1,2.773
36:59.1,2.773
37:02.2,2.772
37:05.2,2.772
37:08.1,2.772
37:11.2,2.772
37:14.1,2.772
37:17.2,2.772
37:20.2,2.772
37:23.1,2.772
37:26.2,2.772
37:29.2,2.771
37:32.2,2.771
37:35.2,2.771
37:38.2,2.771
37:41.2,2.77
37:44.1,2.771
37:47.1,2.771
37:50.2,2.771
37:53.1,2.771
37:56.1,2.771
37:59.2,2.771
38:02.2,2.771
38:05.2,2.77
38:08.2,2.77
38:09.5,2.771
38:11.1,2.771
38:14.2,2.771
38:17.2,2.771
38:20.2,2.772
38:23.2,2.772
38:26.2,2.772
38:29.2,2.772
38:32.2,2.772
