timestamp,iopv,time,date,iopv_lag
15:02.2,2.757,12:15:02 AM,4/17/2020,
25:06.0,2.777,12:25:06 AM,4/17/2020,2.757
25:11.0,2.778,9:25:11 AM,4/17/2020,2.777
30:05.2,2.779,12:30:05 AM,4/17/2020,2.778
30:17.1,2.78,12:30:17 AM,4/17/2020,2.779
30:29.1,2.779,12:30:29 AM,4/17/2020,2.78
30:44.1,2.778,12:30:44 AM,4/17/2020,2.779
30:50.1,2.777,12:30:50 AM,4/17/2020,2.778
31:04.0,2.776,12:31:04 AM,4/17/2020,2.777
31:32.1,2.775,12:31:32 AM,4/17/2020,2.776
31:41.1,2.776,12:31:41 AM,4/17/2020,2.775
32:11.1,2.777,12:32:11 AM,4/17/2020,2.776
32:17.1,2.776,12:32:17 AM,4/17/2020,2.777
32:26.1,2.777,12:32:26 AM,4/17/2020,2.776
32:47.1,2.778,12:32:47 AM,4/17/2020,2.777
33:11.1,2.777,12:33:11 AM,4/17/2020,2.778
33:14.2,2.778,12:33:14 AM,4/17/2020,2.777
33:17.1,2.777,12:33:17 AM,4/17/2020,2.778
33:29.1,2.776,12:33:29 AM,4/17/2020,2.777
33:41.1,2.775,12:33:41 AM,4/17/2020,2.776
33:47.1,2.776,12:33:47 AM,4/17/2020,2.775
34:02.1,2.775,12:34:02 AM,4/17/2020,2.776
34:05.2,2.776,12:34:05 AM,4/17/2020,2.775
34:47.1,2.775,12:34:47 AM,4/17/2020,2.776
34:50.1,2.776,12:34:50 AM,4/17/2020,2.775
34:56.1,2.775,12:34:56 AM,4/17/2020,2.776
35:02.1,2.774,12:35:02 AM,4/17/2020,2.775
35:05.1,2.775,12:35:05 AM,4/17/2020,2.774
35:41.1,2.776,12:35:41 AM,4/17/2020,2.775
35:44.2,2.775,12:35:44 AM,4/17/2020,2.776
35:59.1,2.774,12:35:59 AM,4/17/2020,2.775
36:17.2,2.773,12:36:17 AM,4/17/2020,2.774
36:20.2,2.774,12:36:20 AM,4/17/2020,2.773
36:32.1,2.773,12:36:32 AM,4/17/2020,2.774
36:41.2,2.772,12:36:41 AM,4/17/2020,2.773
36:47.1,2.773,12:36:47 AM,4/17/2020,2.772
36:50.2,2.774,12:36:50 AM,4/17/2020,2.773
36:56.1,2.773,12:36:56 AM,4/17/2020,2.774
37:02.2,2.772,12:37:02 AM,4/17/2020,2.773
37:29.2,2.771,12:37:29 AM,4/17/2020,2.772
37:41.2,2.77,12:37:41 AM,4/17/2020,2.771
37:44.1,2.771,12:37:44 AM,4/17/2020,2.77
38:05.2,2.77,12:38:05 AM,4/17/2020,2.771
38:09.5,2.771,12:38:09 AM,4/17/2020,2.77
38:20.2,2.772,12:38:20 AM,4/17/2020,2.771
38:40.0,2.773,12:38:40 AM,4/17/2020,2.772
38:50.2,2.774,12:38:50 AM,4/17/2020,2.773
38:59.2,2.773,12:38:59 AM,4/17/2020,2.774
39:10.0,2.774,12:39:10 AM,4/17/2020,2.773
39:29.2,2.775,12:39:29 AM,4/17/2020,2.774
39:56.2,2.774,12:39:56 AM,4/17/2020,2.775
39:59.2,2.775,12:39:59 AM,4/17/2020,2.774
40:11.0,2.774,12:40:11 AM,4/17/2020,2.775
40:29.2,2.773,12:40:29 AM,4/17/2020,2.774
40:35.2,2.774,12:40:35 AM,4/17/2020,2.773
40:41.2,2.773,12:40:41 AM,4/17/2020,2.774
40:44.2,2.774,12:40:44 AM,4/17/2020,2.773
40:47.1,2.773,12:40:47 AM,4/17/2020,2.774
41:26.2,2.774,12:41:26 AM,4/17/2020,2.773
41:35.2,2.773,12:41:35 AM,4/17/2020,2.774
41:44.1,2.774,12:41:44 AM,4/17/2020,2.773
42:05.2,2.773,12:42:05 AM,4/17/2020,2.774
42:17.2,2.774,12:42:17 AM,4/17/2020,2.773
42:20.2,2.773,12:42:20 AM,4/17/2020,2.774
42:44.2,2.772,12:42:44 AM,4/17/2020,2.773
43:11.2,2.771,12:43:11 AM,4/17/2020,2.772
43:26.2,2.772,12:43:26 AM,4/17/2020,2.771
43:29.2,2.773,12:43:29 AM,4/17/2020,2.772
43:32.2,2.772,12:43:32 AM,4/17/2020,2.773
43:35.2,2.773,12:43:35 AM,4/17/2020,2.772
43:41.2,2.772,12:43:41 AM,4/17/2020,2.773
43:44.2,2.773,12:43:44 AM,4/17/2020,2.772
43:50.2,2.772,12:43:50 AM,4/17/2020,2.773
43:56.2,2.773,12:43:56 AM,4/17/2020,2.772
44:11.2,2.772,12:44:11 AM,4/17/2020,2.773
44:14.5,2.773,12:44:15 AM,4/17/2020,2.772
44:26.2,2.774,12:44:26 AM,4/17/2020,2.773
44:29.2,2.773,12:44:29 AM,4/17/2020,2.774
44:59.2,2.774,12:44:59 AM,4/17/2020,2.773
45:05.2,2.773,12:45:05 AM,4/17/2020,2.774
45:11.2,2.774,12:45:11 AM,4/17/2020,2.773
45:44.2,2.775,12:45:44 AM,4/17/2020,2.774
45:50.2,2.774,12:45:50 AM,4/17/2020,2.775
45:56.2,2.775,12:45:56 AM,4/17/2020,2.774
46:14.2,2.776,12:46:14 AM,4/17/2020,2.775
46:29.2,2.777,12:46:29 AM,4/17/2020,2.776
46:50.2,2.778,12:46:50 AM,4/17/2020,2.777
46:59.2,2.779,12:46:59 AM,4/17/2020,2.778
47:05.2,2.78,12:47:05 AM,4/17/2020,2.779
47:11.2,2.781,12:47:11 AM,4/17/2020,2.78
47:14.2,2.782,12:47:14 AM,4/17/2020,2.781
47:59.2,2.783,12:47:59 AM,4/17/2020,2.782
48:05.2,2.784,12:48:05 AM,4/17/2020,2.783
48:26.2,2.785,12:48:26 AM,4/17/2020,2.784
48:44.2,2.786,12:48:44 AM,4/17/2020,2.785
48:56.2,2.787,12:48:56 AM,4/17/2020,2.786
49:05.2,2.788,12:49:05 AM,4/17/2020,2.787
49:26.2,2.787,12:49:26 AM,4/17/2020,2.788
49:29.2,2.788,12:49:29 AM,4/17/2020,2.787
49:35.2,2.787,12:49:35 AM,4/17/2020,2.788
49:44.2,2.786,12:49:44 AM,4/17/2020,2.787
49:59.2,2.785,12:49:59 AM,4/17/2020,2.786
50:11.2,2.786,12:50:11 AM,4/17/2020,2.785
50:35.2,2.787,12:50:35 AM,4/17/2020,2.786
50:44.2,2.786,12:50:44 AM,4/17/2020,2.787
51:05.2,2.787,12:51:05 AM,4/17/2020,2.786
51:11.2,2.786,12:51:11 AM,4/17/2020,2.787
52:20.0,2.787,12:52:20 AM,4/17/2020,2.786
52:26.2,2.785,12:52:26 AM,4/17/2020,2.787
52:29.2,2.787,12:52:29 AM,4/17/2020,2.785
53:05.2,2.788,12:53:05 AM,4/17/2020,2.787
53:11.2,2.787,12:53:11 AM,4/17/2020,2.788
53:14.2,2.788,12:53:14 AM,4/17/2020,2.787
53:29.2,2.787,12:53:29 AM,4/17/2020,2.788
53:50.2,2.786,12:53:50 AM,4/17/2020,2.787
53:59.3,2.787,12:53:59 AM,4/17/2020,2.786
54:05.3,2.786,12:54:05 AM,4/17/2020,2.787
54:29.2,2.785,12:54:29 AM,4/17/2020,2.786
55:26.2,2.784,12:55:26 AM,4/17/2020,2.785
55:29.2,2.785,12:55:29 AM,4/17/2020,2.784
55:44.2,2.786,12:55:44 AM,4/17/2020,2.785
55:50.3,2.785,12:55:50 AM,4/17/2020,2.786
55:56.3,2.786,12:55:56 AM,4/17/2020,2.785
56:29.3,2.787,12:56:29 AM,4/17/2020,2.786
56:50.2,2.788,12:56:50 AM,4/17/2020,2.787
57:11.3,2.789,12:57:11 AM,4/17/2020,2.788
57:14.3,2.788,12:57:14 AM,4/17/2020,2.789
57:29.3,2.789,12:57:29 AM,4/17/2020,2.788
58:20.3,2.79,12:58:20 AM,4/17/2020,2.789
58:55.0,2.791,12:58:55 AM,4/17/2020,2.79
58:59.3,2.79,12:58:59 AM,4/17/2020,2.791
59:11.3,2.789,12:59:11 AM,4/17/2020,2.79
59:50.3,2.79,12:59:50 AM,4/17/2020,2.789
59:55.7,2.789,12:59:56 AM,4/17/2020,2.79
59:59.3,2.79,12:59:59 AM,4/17/2020,2.789
00:05.2,2.789,12:00:05 AM,4/17/2020,2.79
00:20.3,2.79,12:00:20 AM,4/17/2020,2.789
00:26.0,2.789,10:00:26 AM,4/17/2020,2.79
00:41.2,2.788,12:00:41 AM,4/17/2020,2.789
00:56.3,2.787,12:00:56 AM,4/17/2020,2.788
00:59.3,2.786,12:00:59 AM,4/17/2020,2.787
01:11.3,2.785,12:01:11 AM,4/17/2020,2.786
01:14.3,2.784,12:01:14 AM,4/17/2020,2.785
01:29.3,2.783,12:01:29 AM,4/17/2020,2.784
01:56.3,2.782,12:01:56 AM,4/17/2020,2.783
02:20.3,2.783,12:02:20 AM,4/17/2020,2.782
02:26.3,2.782,12:02:26 AM,4/17/2020,2.783
02:29.3,2.783,12:02:29 AM,4/17/2020,2.782
02:44.3,2.784,12:02:44 AM,4/17/2020,2.783
02:50.3,2.783,12:02:50 AM,4/17/2020,2.784
02:59.3,2.784,12:02:59 AM,4/17/2020,2.783
03:20.3,2.785,12:03:20 AM,4/17/2020,2.784
03:35.3,2.786,12:03:35 AM,4/17/2020,2.785
03:50.3,2.787,12:03:50 AM,4/17/2020,2.786
03:56.3,2.788,12:03:56 AM,4/17/2020,2.787
04:05.3,2.789,12:04:05 AM,4/17/2020,2.788
04:26.3,2.79,12:04:26 AM,4/17/2020,2.789
04:29.0,2.789,12:04:29 AM,4/17/2020,2.79
04:35.3,2.79,12:04:35 AM,4/17/2020,2.789
04:41.3,2.789,12:04:41 AM,4/17/2020,2.79
04:44.3,2.79,12:04:44 AM,4/17/2020,2.789
05:05.3,2.791,12:05:05 AM,4/17/2020,2.79
05:20.3,2.79,12:05:20 AM,4/17/2020,2.791
05:29.3,2.791,12:05:29 AM,4/17/2020,2.79
05:35.3,2.79,12:05:35 AM,4/17/2020,2.791
05:41.3,2.791,12:05:41 AM,4/17/2020,2.79
05:50.3,2.79,12:05:50 AM,4/17/2020,2.791
05:56.3,2.791,12:05:56 AM,4/17/2020,2.79
06:41.3,2.792,12:06:41 AM,4/17/2020,2.791
06:44.3,2.791,12:06:44 AM,4/17/2020,2.792
06:50.3,2.792,12:06:50 AM,4/17/2020,2.791
08:11.3,2.791,12:08:11 AM,4/17/2020,2.792
08:14.3,2.792,12:08:14 AM,4/17/2020,2.791
08:26.3,2.791,12:08:26 AM,4/17/2020,2.792
09:20.3,2.79,12:09:20 AM,4/17/2020,2.791
09:44.3,2.791,12:09:44 AM,4/17/2020,2.79
09:50.2,2.79,12:09:50 AM,4/17/2020,2.791
09:59.3,2.791,12:09:59 AM,4/17/2020,2.79
10:05.3,2.79,12:10:05 AM,4/17/2020,2.791
10:11.3,2.791,12:10:11 AM,4/17/2020,2.79
10:20.3,2.792,12:10:20 AM,4/17/2020,2.791
10:59.3,2.793,12:10:59 AM,4/17/2020,2.792
11:11.3,2.792,12:11:11 AM,4/17/2020,2.793
11:14.3,2.793,12:11:14 AM,4/17/2020,2.792
11:44.3,2.794,12:11:44 AM,4/17/2020,2.793
11:50.3,2.795,12:11:50 AM,4/17/2020,2.794
11:56.3,2.794,12:11:56 AM,4/17/2020,2.795
12:11.3,2.795,12:12:11 AM,4/17/2020,2.794
12:14.3,2.794,12:12:14 AM,4/17/2020,2.795
12:20.3,2.793,12:12:20 AM,4/17/2020,2.794
12:26.3,2.792,12:12:26 AM,4/17/2020,2.793
12:50.3,2.793,12:12:50 AM,4/17/2020,2.792
12:59.3,2.792,12:12:59 AM,4/17/2020,2.793
13:20.4,2.793,12:13:20 AM,4/17/2020,2.792
13:29.3,2.794,12:13:29 AM,4/17/2020,2.793
13:35.4,2.793,12:13:35 AM,4/17/2020,2.794
13:50.4,2.794,12:13:50 AM,4/17/2020,2.793
13:59.3,2.793,12:13:59 AM,4/17/2020,2.794
14:14.4,2.794,12:14:14 AM,4/17/2020,2.793
14:26.3,2.793,12:14:26 AM,4/17/2020,2.794
14:50.4,2.794,12:14:50 AM,4/17/2020,2.793
14:56.4,2.793,12:14:56 AM,4/17/2020,2.794
15:14.4,2.794,12:15:14 AM,4/17/2020,2.793
15:20.4,2.793,12:15:20 AM,4/17/2020,2.794
15:29.4,2.794,12:15:29 AM,4/17/2020,2.793
15:35.3,2.793,12:15:35 AM,4/17/2020,2.794
15:44.4,2.794,12:15:44 AM,4/17/2020,2.793
16:05.4,2.793,12:16:05 AM,4/17/2020,2.794
16:11.4,2.794,12:16:11 AM,4/17/2020,2.793
16:14.4,2.793,12:16:14 AM,4/17/2020,2.794
16:29.4,2.794,12:16:29 AM,4/17/2020,2.793
16:35.4,2.793,12:16:35 AM,4/17/2020,2.794
16:44.4,2.794,12:16:44 AM,4/17/2020,2.793
16:50.4,2.793,12:16:50 AM,4/17/2020,2.794
17:11.3,2.792,12:17:11 AM,4/17/2020,2.793
17:26.4,2.793,12:17:26 AM,4/17/2020,2.792
17:29.4,2.792,12:17:29 AM,4/17/2020,2.793
17:56.4,2.791,12:17:56 AM,4/17/2020,2.792
18:09.2,2.79,12:18:09 AM,4/17/2020,2.791
19:14.4,2.791,12:19:14 AM,4/17/2020,2.79
20:59.4,2.79,12:20:59 AM,4/17/2020,2.791
21:05.4,2.791,12:21:05 AM,4/17/2020,2.79
21:20.4,2.79,12:21:20 AM,4/17/2020,2.791
21:26.4,2.791,12:21:26 AM,4/17/2020,2.79
21:41.4,2.79,12:21:41 AM,4/17/2020,2.791
21:44.4,2.791,12:21:44 AM,4/17/2020,2.79
21:50.4,2.79,12:21:50 AM,4/17/2020,2.791
22:05.4,2.791,12:22:05 AM,4/17/2020,2.79
22:11.4,2.79,12:22:11 AM,4/17/2020,2.791
23:05.4,2.791,12:23:05 AM,4/17/2020,2.79
23:35.4,2.79,12:23:35 AM,4/17/2020,2.791
23:41.4,2.791,12:23:41 AM,4/17/2020,2.79
23:56.3,2.79,12:23:56 AM,4/17/2020,2.791
24:05.4,2.791,12:24:05 AM,4/17/2020,2.79
24:11.4,2.79,12:24:11 AM,4/17/2020,2.791
24:14.4,2.791,12:24:14 AM,4/17/2020,2.79
24:20.4,2.79,12:24:20 AM,4/17/2020,2.791
24:29.4,2.791,12:24:29 AM,4/17/2020,2.79
25:35.4,2.792,12:25:35 AM,4/17/2020,2.791
25:56.4,2.793,12:25:56 AM,4/17/2020,2.792
25:59.4,2.792,12:25:59 AM,4/17/2020,2.793
26:05.4,2.794,12:26:05 AM,4/17/2020,2.792
26:11.4,2.793,12:26:11 AM,4/17/2020,2.794
26:50.4,2.794,12:26:50 AM,4/17/2020,2.793
26:56.5,2.793,12:26:56 AM,4/17/2020,2.794
27:14.4,2.794,12:27:14 AM,4/17/2020,2.793
27:20.5,2.793,12:27:20 AM,4/17/2020,2.794
27:26.4,2.795,12:27:26 AM,4/17/2020,2.793
27:29.4,2.794,12:27:29 AM,4/17/2020,2.795
27:35.4,2.795,12:27:35 AM,4/17/2020,2.794
27:41.5,2.794,12:27:41 AM,4/17/2020,2.795
27:44.4,2.795,12:27:44 AM,4/17/2020,2.794
27:56.4,2.796,12:27:56 AM,4/17/2020,2.795
27:59.5,2.795,12:28:00 AM,4/17/2020,2.796
28:05.4,2.796,12:28:05 AM,4/17/2020,2.795
28:20.4,2.797,12:28:20 AM,4/17/2020,2.796
28:50.4,2.798,12:28:50 AM,4/17/2020,2.797
29:05.4,2.797,12:29:05 AM,4/17/2020,2.798
29:20.4,2.798,12:29:20 AM,4/17/2020,2.797
29:26.5,2.797,12:29:26 AM,4/17/2020,2.798
29:41.5,2.798,12:29:41 AM,4/17/2020,2.797
29:44.4,2.797,12:29:44 AM,4/17/2020,2.798
29:50.5,2.796,12:29:51 AM,4/17/2020,2.797
29:56.4,2.797,12:29:56 AM,4/17/2020,2.796
30:35.4,2.796,12:30:35 AM,4/17/2020,2.797
