timetamp,iopv,time,date,iopv_lag
15:03.0,,15:03.0,4/20/2020,
15:09.0,3.893,15:09.0,4/20/2020,
25:12.0,3.899,9:25:12,4/20/2020,3.893
30:30.0,3.9,30:30.0,4/20/2020,3.899
30:45.0,3.897,30:45.0,4/20/2020,3.9
31:00.0,3.896,31:00.0,4/20/2020,3.897
31:30.0,3.897,31:30.0,4/20/2020,3.896
32:33.0,3.893,32:33.0,4/20/2020,3.897
32:48.0,3.888,32:48.0,4/20/2020,3.893
33:03.0,3.891,9:33:03,4/20/2020,3.888
33:18.0,3.894,9:33:18,4/20/2020,3.891
33:48.0,3.896,9:33:48,4/20/2020,3.894
34:03.0,3.897,9:34:03,4/20/2020,3.896
34:18.0,3.895,34:18.0,4/20/2020,3.897
34:33.0,3.898,34:33.0,4/20/2020,3.895
34:48.0,3.897,34:48.0,4/20/2020,3.898
35:33.0,3.893,35:33.0,4/20/2020,3.897
35:48.0,3.894,35:48.0,4/20/2020,3.893
36:03.0,3.895,9:36:03,4/20/2020,3.894
36:18.0,3.894,9:36:18,4/20/2020,3.895
36:36.0,3.897,36:36.0,4/20/2020,3.894
36:51.0,3.898,36:51.0,4/20/2020,3.897
37:21.0,3.896,9:37:21,4/20/2020,3.898
38:06.0,3.895,9:38:06,4/20/2020,3.896
38:21.0,3.894,9:38:21,4/20/2020,3.895
38:36.0,3.895,38:36.0,4/20/2020,3.894
38:51.0,3.896,38:51.0,4/20/2020,3.895
39:36.0,3.895,39:36.0,4/20/2020,3.896
40:06.0,3.894,9:40:06,4/20/2020,3.895
40:36.0,3.893,9:40:36,4/20/2020,3.894
40:51.0,3.891,9:40:51,4/20/2020,3.893
41:06.0,3.89,41:06.0,4/20/2020,3.891
41:21.0,3.888,41:21.0,4/20/2020,3.89
41:36.0,3.887,41:36.0,4/20/2020,3.888
42:06.0,3.888,42:06.0,4/20/2020,3.887
42:21.0,3.89,42:21.0,4/20/2020,3.888
42:36.0,3.892,9:42:36,4/20/2020,3.89
42:54.0,3.891,42:54.0,4/20/2020,3.892
43:24.0,3.888,43:24.0,4/20/2020,3.891
44:09.0,3.887,9:44:09,4/20/2020,3.888
44:24.0,3.888,9:44:24,4/20/2020,3.887
44:39.0,3.887,9:44:39,4/20/2020,3.888
44:54.0,3.888,9:44:54,4/20/2020,3.887
45:39.0,3.885,45:39.0,4/20/2020,3.888
46:09.0,3.884,46:09.0,4/20/2020,3.885
46:24.0,3.886,46:24.0,4/20/2020,3.884
46:39.0,3.887,9:46:39,4/20/2020,3.886
46:54.0,3.888,9:46:54,4/20/2020,3.887
47:24.0,3.89,9:47:24,4/20/2020,3.888
47:54.0,3.889,47:54.0,4/20/2020,3.89
48:24.0,3.888,48:24.0,4/20/2020,3.889
48:57.0,3.889,48:57.0,4/20/2020,3.888
49:42.0,3.89,49:42.0,4/20/2020,3.889
50:27.0,3.891,50:27.0,4/20/2020,3.89
50:42.0,3.89,9:50:42,4/20/2020,3.891
51:27.0,3.889,9:51:27,4/20/2020,3.89
51:42.0,3.888,9:51:42,4/20/2020,3.889
51:57.0,3.887,51:57.0,4/20/2020,3.888
52:12.0,3.886,52:12.0,4/20/2020,3.887
53:12.0,3.885,53:12.0,4/20/2020,3.886
53:57.0,3.886,9:53:57,4/20/2020,3.885
54:27.0,3.885,9:54:27,4/20/2020,3.886
55:30.0,3.884,9:55:30,4/20/2020,3.885
55:45.0,3.885,55:45.0,4/20/2020,3.884
56:00.0,3.886,56:00.0,4/20/2020,3.885
56:15.0,3.887,56:15.0,4/20/2020,3.886
57:00.0,3.888,57:00.0,4/20/2020,3.887
57:15.0,3.887,9:57:15,4/20/2020,3.888
57:30.0,3.886,9:57:30,4/20/2020,3.887
58:15.0,3.885,9:58:15,4/20/2020,3.886
59:30.0,3.886,59:30.0,4/20/2020,3.885
00:03.0,3.887,00:03.0,4/20/2020,3.886
00:45.0,3.886,10:00:45,4/20/2020,3.887
01:00.0,3.885,10:01:00,4/20/2020,3.886
02:48.0,3.886,02:48.0,4/20/2020,3.885
03:18.0,3.887,03:18.0,4/20/2020,3.886
03:33.0,3.888,03:33.0,4/20/2020,3.887
04:03.0,3.889,10:04:03,4/20/2020,3.888
04:48.0,3.89,10:04:48,4/20/2020,3.889
05:03.0,3.891,10:05:03,4/20/2020,3.89
05:18.0,3.892,10:05:18,4/20/2020,3.891
05:33.0,3.893,05:33.0,4/20/2020,3.892
05:48.0,3.894,05:48.0,4/20/2020,3.893
06:03.0,3.895,06:03.0,4/20/2020,3.894
06:18.0,3.896,06:18.0,4/20/2020,3.895
07:18.0,3.895,10:07:18,4/20/2020,3.896
07:48.0,3.896,10:07:48,4/20/2020,3.895
08:51.0,3.897,10:08:51,4/20/2020,3.896
09:51.0,3.896,09:51.0,4/20/2020,3.897
10:06.0,3.895,10:06.0,4/20/2020,3.896
11:21.0,3.896,10:11:21,4/20/2020,3.895
11:36.0,3.895,10:11:36,4/20/2020,3.896
12:06.0,3.893,10:12:06,4/20/2020,3.895
12:21.0,3.894,12:21.0,4/20/2020,3.893
12:36.0,3.895,12:36.0,4/20/2020,3.894
13:06.0,3.896,13:06.0,4/20/2020,3.895
13:21.0,3.898,13:21.0,4/20/2020,3.896
13:51.0,3.899,10:13:51,4/20/2020,3.898
14:06.0,3.898,10:14:06,4/20/2020,3.899
