date,iopv,iopv_lag,time,timestamp
2020-04-17,2.757,,09:15:02,2020-04-17 09:15:02.000000
2020-04-17,2.777,2.757,09:25:06,2020-04-17 09:25:06.000000
2020-04-17,2.778,2.777,09:25:11,2020-04-17 09:25:11.000000
2020-04-17,2.779,2.778,09:30:05,2020-04-17 09:30:05.000000
2020-04-17,2.78,2.779,09:30:17,2020-04-17 09:30:17.000000
2020-04-17,2.779,2.78,09:30:29,2020-04-17 09:30:29.000000
2020-04-17,2.778,2.779,09:30:44,2020-04-17 09:30:44.000000
2020-04-17,2.777,2.778,09:30:50,2020-04-17 09:30:50.000000
2020-04-17,2.776,2.777,09:31:04,2020-04-17 09:31:04.000000
2020-04-17,2.775,2.776,09:31:32,2020-04-17 09:31:32.000000
2020-04-17,2.776,2.775,09:31:41,2020-04-17 09:31:41.000000
2020-04-17,2.777,2.776,09:32:11,2020-04-17 09:32:11.000000
2020-04-17,2.776,2.777,09:32:17,2020-04-17 09:32:17.000000
2020-04-17,2.777,2.776,09:32:26,2020-04-17 09:32:26.000000
2020-04-17,2.778,2.777,09:32:47,2020-04-17 09:32:47.000000
2020-04-17,2.777,2.778,09:33:11,2020-04-17 09:33:11.000000
2020-04-17,2.778,2.777,09:33:14,2020-04-17 09:33:14.000000
2020-04-17,2.777,2.778,09:33:17,2020-04-17 09:33:17.000000
2020-04-17,2.776,2.777,09:33:29,2020-04-17 09:33:29.000000
2020-04-17,2.775,2.776,09:33:41,2020-04-17 09:33:41.000000
2020-04-17,2.776,2.775,09:33:47,2020-04-17 09:33:47.000000
2020-04-17,2.775,2.776,09:34:02,2020-04-17 09:34:02.000000
2020-04-17,2.776,2.775,09:34:05,2020-04-17 09:34:05.000000
2020-04-17,2.775,2.776,09:34:47,2020-04-17 09:34:47.000000
2020-04-17,2.776,2.775,09:34:50,2020-04-17 09:34:50.000000
2020-04-17,2.775,2.776,09:34:56,2020-04-17 09:34:56.000000
2020-04-17,2.774,2.775,09:35:02,2020-04-17 09:35:02.000000
2020-04-17,2.775,2.774,09:35:05,2020-04-17 09:35:05.000000
2020-04-17,2.776,2.775,09:35:41,2020-04-17 09:35:41.000000
2020-04-17,2.775,2.776,09:35:44,2020-04-17 09:35:44.000000
2020-04-17,2.774,2.775,09:35:59,2020-04-17 09:35:59.000000
2020-04-17,2.773,2.774,09:36:17,2020-04-17 09:36:17.000000
2020-04-17,2.774,2.773,09:36:20,2020-04-17 09:36:20.000000
2020-04-17,2.773,2.774,09:36:32,2020-04-17 09:36:32.000000
2020-04-17,2.772,2.773,09:36:41,2020-04-17 09:36:41.000000
2020-04-17,2.773,2.772,09:36:47,2020-04-17 09:36:47.000000
2020-04-17,2.774,2.773,09:36:50,2020-04-17 09:36:50.000000
2020-04-17,2.773,2.774,09:36:56,2020-04-17 09:36:56.000000
2020-04-17,2.772,2.773,09:37:02,2020-04-17 09:37:02.000000
2020-04-17,2.7710000000000004,2.772,09:37:29,2020-04-17 09:37:29.000000
2020-04-17,2.77,2.7710000000000004,09:37:41,2020-04-17 09:37:41.000000
2020-04-17,2.7710000000000004,2.77,09:37:44,2020-04-17 09:37:44.000000
2020-04-17,2.77,2.7710000000000004,09:38:05,2020-04-17 09:38:05.000000
2020-04-17,2.7710000000000004,2.77,09:38:09,2020-04-17 09:38:09.000000
2020-04-17,2.772,2.7710000000000004,09:38:20,2020-04-17 09:38:20.000000
2020-04-17,2.773,2.772,09:38:40,2020-04-17 09:38:40.000000
2020-04-17,2.774,2.773,09:38:50,2020-04-17 09:38:50.000000
2020-04-17,2.773,2.774,09:38:59,2020-04-17 09:38:59.000000
2020-04-17,2.774,2.773,09:39:10,2020-04-17 09:39:10.000000
2020-04-17,2.775,2.774,09:39:29,2020-04-17 09:39:29.000000
2020-04-17,2.774,2.775,09:39:56,2020-04-17 09:39:56.000000
2020-04-17,2.775,2.774,09:39:59,2020-04-17 09:39:59.000000
2020-04-17,2.774,2.775,09:40:11,2020-04-17 09:40:11.000000
2020-04-17,2.773,2.774,09:40:29,2020-04-17 09:40:29.000000
2020-04-17,2.774,2.773,09:40:35,2020-04-17 09:40:35.000000
2020-04-17,2.773,2.774,09:40:41,2020-04-17 09:40:41.000000
2020-04-17,2.774,2.773,09:40:44,2020-04-17 09:40:44.000000
2020-04-17,2.773,2.774,09:40:47,2020-04-17 09:40:47.000000
2020-04-17,2.774,2.773,09:41:26,2020-04-17 09:41:26.000000
2020-04-17,2.773,2.774,09:41:35,2020-04-17 09:41:35.000000
2020-04-17,2.774,2.773,09:41:44,2020-04-17 09:41:44.000000
2020-04-17,2.773,2.774,09:42:05,2020-04-17 09:42:05.000000
2020-04-17,2.774,2.773,09:42:17,2020-04-17 09:42:17.000000
2020-04-17,2.773,2.774,09:42:20,2020-04-17 09:42:20.000000
2020-04-17,2.772,2.773,09:42:44,2020-04-17 09:42:44.000000
2020-04-17,2.7710000000000004,2.772,09:43:11,2020-04-17 09:43:11.000000
2020-04-17,2.772,2.7710000000000004,09:43:26,2020-04-17 09:43:26.000000
2020-04-17,2.773,2.772,09:43:29,2020-04-17 09:43:29.000000
2020-04-17,2.772,2.773,09:43:32,2020-04-17 09:43:32.000000
2020-04-17,2.773,2.772,09:43:35,2020-04-17 09:43:35.000000
2020-04-17,2.772,2.773,09:43:41,2020-04-17 09:43:41.000000
2020-04-17,2.773,2.772,09:43:44,2020-04-17 09:43:44.000000
2020-04-17,2.772,2.773,09:43:50,2020-04-17 09:43:50.000000
2020-04-17,2.773,2.772,09:43:56,2020-04-17 09:43:56.000000
2020-04-17,2.772,2.773,09:44:11,2020-04-17 09:44:11.000000
2020-04-17,2.773,2.772,09:44:15,2020-04-17 09:44:15.000000
2020-04-17,2.774,2.773,09:44:26,2020-04-17 09:44:26.000000
2020-04-17,2.773,2.774,09:44:29,2020-04-17 09:44:29.000000
2020-04-17,2.774,2.773,09:44:59,2020-04-17 09:44:59.000000
2020-04-17,2.773,2.774,09:45:05,2020-04-17 09:45:05.000000
2020-04-17,2.774,2.773,09:45:11,2020-04-17 09:45:11.000000
2020-04-17,2.775,2.774,09:45:44,2020-04-17 09:45:44.000000
2020-04-17,2.774,2.775,09:45:50,2020-04-17 09:45:50.000000
2020-04-17,2.775,2.774,09:45:56,2020-04-17 09:45:56.000000
2020-04-17,2.776,2.775,09:46:14,2020-04-17 09:46:14.000000
2020-04-17,2.777,2.776,09:46:29,2020-04-17 09:46:29.000000
2020-04-17,2.778,2.777,09:46:50,2020-04-17 09:46:50.000000
2020-04-17,2.779,2.778,09:46:59,2020-04-17 09:46:59.000000
2020-04-17,2.78,2.779,09:47:05,2020-04-17 09:47:05.000000
2020-04-17,2.781,2.78,09:47:11,2020-04-17 09:47:11.000000
2020-04-17,2.782,2.781,09:47:14,2020-04-17 09:47:14.000000
2020-04-17,2.783,2.782,09:47:59,2020-04-17 09:47:59.000000
2020-04-17,2.784,2.783,09:48:05,2020-04-17 09:48:05.000000
2020-04-17,2.785,2.784,09:48:26,2020-04-17 09:48:26.000000
2020-04-17,2.786,2.785,09:48:44,2020-04-17 09:48:44.000000
2020-04-17,2.787,2.786,09:48:56,2020-04-17 09:48:56.000000
2020-04-17,2.7880000000000003,2.787,09:49:05,2020-04-17 09:49:05.000000
2020-04-17,2.787,2.7880000000000003,09:49:26,2020-04-17 09:49:26.000000
2020-04-17,2.7880000000000003,2.787,09:49:29,2020-04-17 09:49:29.000000
2020-04-17,2.787,2.7880000000000003,09:49:35,2020-04-17 09:49:35.000000
2020-04-17,2.786,2.787,09:49:44,2020-04-17 09:49:44.000000
2020-04-17,2.785,2.786,09:49:59,2020-04-17 09:49:59.000000
2020-04-17,2.786,2.785,09:50:11,2020-04-17 09:50:11.000000
2020-04-17,2.787,2.786,09:50:35,2020-04-17 09:50:35.000000
2020-04-17,2.786,2.787,09:50:44,2020-04-17 09:50:44.000000
2020-04-17,2.787,2.786,09:51:05,2020-04-17 09:51:05.000000
2020-04-17,2.786,2.787,09:51:11,2020-04-17 09:51:11.000000
2020-04-17,2.787,2.786,09:52:20,2020-04-17 09:52:20.000000
2020-04-17,2.785,2.787,09:52:26,2020-04-17 09:52:26.000000
2020-04-17,2.787,2.785,09:52:29,2020-04-17 09:52:29.000000
2020-04-17,2.7880000000000003,2.787,09:53:05,2020-04-17 09:53:05.000000
2020-04-17,2.787,2.7880000000000003,09:53:11,2020-04-17 09:53:11.000000
2020-04-17,2.7880000000000003,2.787,09:53:14,2020-04-17 09:53:14.000000
2020-04-17,2.787,2.7880000000000003,09:53:29,2020-04-17 09:53:29.000000
2020-04-17,2.786,2.787,09:53:50,2020-04-17 09:53:50.000000
2020-04-17,2.787,2.786,09:53:59,2020-04-17 09:53:59.000000
2020-04-17,2.786,2.787,09:54:05,2020-04-17 09:54:05.000000
2020-04-17,2.785,2.786,09:54:29,2020-04-17 09:54:29.000000
2020-04-17,2.784,2.785,09:55:26,2020-04-17 09:55:26.000000
2020-04-17,2.785,2.784,09:55:29,2020-04-17 09:55:29.000000
2020-04-17,2.786,2.785,09:55:44,2020-04-17 09:55:44.000000
2020-04-17,2.785,2.786,09:55:50,2020-04-17 09:55:50.000000
2020-04-17,2.786,2.785,09:55:56,2020-04-17 09:55:56.000000
2020-04-17,2.787,2.786,09:56:29,2020-04-17 09:56:29.000000
2020-04-17,2.7880000000000003,2.787,09:56:50,2020-04-17 09:56:50.000000
2020-04-17,2.789,2.7880000000000003,09:57:11,2020-04-17 09:57:11.000000
2020-04-17,2.7880000000000003,2.789,09:57:14,2020-04-17 09:57:14.000000
2020-04-17,2.789,2.7880000000000003,09:57:29,2020-04-17 09:57:29.000000
2020-04-17,2.79,2.789,09:58:20,2020-04-17 09:58:20.000000
2020-04-17,2.7910000000000004,2.79,09:58:55,2020-04-17 09:58:55.000000
2020-04-17,2.79,2.7910000000000004,09:58:59,2020-04-17 09:58:59.000000
2020-04-17,2.789,2.79,09:59:11,2020-04-17 09:59:11.000000
2020-04-17,2.79,2.789,09:59:50,2020-04-17 09:59:50.000000
2020-04-17,2.789,2.79,09:59:56,2020-04-17 09:59:56.000000
2020-04-17,2.79,2.789,09:59:59,2020-04-17 09:59:59.000000
2020-04-17,2.789,2.79,10:00:05,2020-04-17 10:00:05.000000
2020-04-17,2.79,2.789,10:00:20,2020-04-17 10:00:20.000000
2020-04-17,2.789,2.79,10:00:26,2020-04-17 10:00:26.000000
2020-04-17,2.7880000000000003,2.789,10:00:41,2020-04-17 10:00:41.000000
2020-04-17,2.787,2.7880000000000003,10:00:56,2020-04-17 10:00:56.000000
2020-04-17,2.786,2.787,10:00:59,2020-04-17 10:00:59.000000
2020-04-17,2.785,2.786,10:01:11,2020-04-17 10:01:11.000000
2020-04-17,2.784,2.785,10:01:14,2020-04-17 10:01:14.000000
2020-04-17,2.783,2.784,10:01:29,2020-04-17 10:01:29.000000
2020-04-17,2.782,2.783,10:01:56,2020-04-17 10:01:56.000000
2020-04-17,2.783,2.782,10:02:20,2020-04-17 10:02:20.000000
2020-04-17,2.782,2.783,10:02:26,2020-04-17 10:02:26.000000
2020-04-17,2.783,2.782,10:02:29,2020-04-17 10:02:29.000000
2020-04-17,2.784,2.783,10:02:44,2020-04-17 10:02:44.000000
2020-04-17,2.783,2.784,10:02:50,2020-04-17 10:02:50.000000
2020-04-17,2.784,2.783,10:02:59,2020-04-17 10:02:59.000000
2020-04-17,2.785,2.784,10:03:20,2020-04-17 10:03:20.000000
2020-04-17,2.786,2.785,10:03:35,2020-04-17 10:03:35.000000
2020-04-17,2.787,2.786,10:03:50,2020-04-17 10:03:50.000000
2020-04-17,2.7880000000000003,2.787,10:03:56,2020-04-17 10:03:56.000000
2020-04-17,2.789,2.7880000000000003,10:04:05,2020-04-17 10:04:05.000000
2020-04-17,2.79,2.789,10:04:26,2020-04-17 10:04:26.000000
2020-04-17,2.789,2.79,10:04:29,2020-04-17 10:04:29.000000
2020-04-17,2.79,2.789,10:04:35,2020-04-17 10:04:35.000000
2020-04-17,2.789,2.79,10:04:41,2020-04-17 10:04:41.000000
2020-04-17,2.79,2.789,10:04:44,2020-04-17 10:04:44.000000
2020-04-17,2.7910000000000004,2.79,10:05:05,2020-04-17 10:05:05.000000
2020-04-17,2.79,2.7910000000000004,10:05:20,2020-04-17 10:05:20.000000
2020-04-17,2.7910000000000004,2.79,10:05:29,2020-04-17 10:05:29.000000
2020-04-17,2.79,2.7910000000000004,10:05:35,2020-04-17 10:05:35.000000
2020-04-17,2.7910000000000004,2.79,10:05:41,2020-04-17 10:05:41.000000
2020-04-17,2.79,2.7910000000000004,10:05:50,2020-04-17 10:05:50.000000
2020-04-17,2.7910000000000004,2.79,10:05:56,2020-04-17 10:05:56.000000
2020-04-17,2.792,2.7910000000000004,10:06:41,2020-04-17 10:06:41.000000
2020-04-17,2.7910000000000004,2.792,10:06:44,2020-04-17 10:06:44.000000
2020-04-17,2.792,2.7910000000000004,10:06:50,2020-04-17 10:06:50.000000
2020-04-17,2.7910000000000004,2.792,10:08:11,2020-04-17 10:08:11.000000
2020-04-17,2.792,2.7910000000000004,10:08:14,2020-04-17 10:08:14.000000
2020-04-17,2.7910000000000004,2.792,10:08:26,2020-04-17 10:08:26.000000
2020-04-17,2.79,2.7910000000000004,10:09:20,2020-04-17 10:09:20.000000
2020-04-17,2.7910000000000004,2.79,10:09:44,2020-04-17 10:09:44.000000
2020-04-17,2.79,2.7910000000000004,10:09:50,2020-04-17 10:09:50.000000
2020-04-17,2.7910000000000004,2.79,10:09:59,2020-04-17 10:09:59.000000
2020-04-17,2.79,2.7910000000000004,10:10:05,2020-04-17 10:10:05.000000
2020-04-17,2.7910000000000004,2.79,10:10:11,2020-04-17 10:10:11.000000
2020-04-17,2.792,2.7910000000000004,10:10:20,2020-04-17 10:10:20.000000
2020-04-17,2.793,2.792,10:10:59,2020-04-17 10:10:59.000000
2020-04-17,2.792,2.793,10:11:11,2020-04-17 10:11:11.000000
2020-04-17,2.793,2.792,10:11:14,2020-04-17 10:11:14.000000
2020-04-17,2.794,2.793,10:11:44,2020-04-17 10:11:44.000000
2020-04-17,2.795,2.794,10:11:50,2020-04-17 10:11:50.000000
2020-04-17,2.794,2.795,10:11:56,2020-04-17 10:11:56.000000
2020-04-17,2.795,2.794,10:12:11,2020-04-17 10:12:11.000000
2020-04-17,2.794,2.795,10:12:14,2020-04-17 10:12:14.000000
2020-04-17,2.793,2.794,10:12:20,2020-04-17 10:12:20.000000
2020-04-17,2.792,2.793,10:12:26,2020-04-17 10:12:26.000000
2020-04-17,2.793,2.792,10:12:50,2020-04-17 10:12:50.000000
2020-04-17,2.792,2.793,10:12:59,2020-04-17 10:12:59.000000
2020-04-17,2.793,2.792,10:13:20,2020-04-17 10:13:20.000000
2020-04-17,2.794,2.793,10:13:29,2020-04-17 10:13:29.000000
2020-04-17,2.793,2.794,10:13:35,2020-04-17 10:13:35.000000
2020-04-17,2.794,2.793,10:13:50,2020-04-17 10:13:50.000000
2020-04-17,2.793,2.794,10:13:59,2020-04-17 10:13:59.000000
2020-04-17,2.794,2.793,10:14:14,2020-04-17 10:14:14.000000
2020-04-17,2.793,2.794,10:14:26,2020-04-17 10:14:26.000000
2020-04-17,2.794,2.793,10:14:50,2020-04-17 10:14:50.000000
2020-04-17,2.793,2.794,10:14:56,2020-04-17 10:14:56.000000
2020-04-17,2.794,2.793,10:15:14,2020-04-17 10:15:14.000000
2020-04-17,2.793,2.794,10:15:20,2020-04-17 10:15:20.000000
2020-04-17,2.794,2.793,10:15:29,2020-04-17 10:15:29.000000
2020-04-17,2.793,2.794,10:15:35,2020-04-17 10:15:35.000000
2020-04-17,2.794,2.793,10:15:44,2020-04-17 10:15:44.000000
2020-04-17,2.793,2.794,10:16:05,2020-04-17 10:16:05.000000
2020-04-17,2.794,2.793,10:16:11,2020-04-17 10:16:11.000000
2020-04-17,2.793,2.794,10:16:14,2020-04-17 10:16:14.000000
2020-04-17,2.794,2.793,10:16:29,2020-04-17 10:16:29.000000
2020-04-17,2.793,2.794,10:16:35,2020-04-17 10:16:35.000000
2020-04-17,2.794,2.793,10:16:44,2020-04-17 10:16:44.000000
2020-04-17,2.793,2.794,10:16:50,2020-04-17 10:16:50.000000
2020-04-17,2.792,2.793,10:17:11,2020-04-17 10:17:11.000000
2020-04-17,2.793,2.792,10:17:26,2020-04-17 10:17:26.000000
2020-04-17,2.792,2.793,10:17:29,2020-04-17 10:17:29.000000
2020-04-17,2.7910000000000004,2.792,10:17:56,2020-04-17 10:17:56.000000
2020-04-17,2.79,2.7910000000000004,10:18:09,2020-04-17 10:18:09.000000
2020-04-17,2.7910000000000004,2.79,10:19:14,2020-04-17 10:19:14.000000
2020-04-17,2.79,2.7910000000000004,10:20:59,2020-04-17 10:20:59.000000
2020-04-17,2.7910000000000004,2.79,10:21:05,2020-04-17 10:21:05.000000
2020-04-17,2.79,2.7910000000000004,10:21:20,2020-04-17 10:21:20.000000
2020-04-17,2.7910000000000004,2.79,10:21:26,2020-04-17 10:21:26.000000
2020-04-17,2.79,2.7910000000000004,10:21:41,2020-04-17 10:21:41.000000
2020-04-17,2.7910000000000004,2.79,10:21:44,2020-04-17 10:21:44.000000
2020-04-17,2.79,2.7910000000000004,10:21:50,2020-04-17 10:21:50.000000
2020-04-17,2.7910000000000004,2.79,10:22:05,2020-04-17 10:22:05.000000
2020-04-17,2.79,2.7910000000000004,10:22:11,2020-04-17 10:22:11.000000
2020-04-17,2.7910000000000004,2.79,10:23:05,2020-04-17 10:23:05.000000
2020-04-17,2.79,2.7910000000000004,10:23:35,2020-04-17 10:23:35.000000
2020-04-17,2.7910000000000004,2.79,10:23:41,2020-04-17 10:23:41.000000
2020-04-17,2.79,2.7910000000000004,10:23:56,2020-04-17 10:23:56.000000
2020-04-17,2.7910000000000004,2.79,10:24:05,2020-04-17 10:24:05.000000
2020-04-17,2.79,2.7910000000000004,10:24:11,2020-04-17 10:24:11.000000
2020-04-17,2.7910000000000004,2.79,10:24:14,2020-04-17 10:24:14.000000
2020-04-17,2.79,2.7910000000000004,10:24:20,2020-04-17 10:24:20.000000
2020-04-17,2.7910000000000004,2.79,10:24:29,2020-04-17 10:24:29.000000
2020-04-17,2.792,2.7910000000000004,10:25:35,2020-04-17 10:25:35.000000
2020-04-17,2.793,2.792,10:25:56,2020-04-17 10:25:56.000000
2020-04-17,2.792,2.793,10:25:59,2020-04-17 10:25:59.000000
2020-04-17,2.794,2.792,10:26:05,2020-04-17 10:26:05.000000
2020-04-17,2.793,2.794,10:26:11,2020-04-17 10:26:11.000000
2020-04-17,2.794,2.793,10:26:50,2020-04-17 10:26:50.000000
2020-04-17,2.793,2.794,10:26:56,2020-04-17 10:26:56.000000
2020-04-17,2.794,2.793,10:27:14,2020-04-17 10:27:14.000000
2020-04-17,2.793,2.794,10:27:20,2020-04-17 10:27:20.000000
2020-04-17,2.795,2.793,10:27:26,2020-04-17 10:27:26.000000
2020-04-17,2.794,2.795,10:27:29,2020-04-17 10:27:29.000000
2020-04-17,2.795,2.794,10:27:35,2020-04-17 10:27:35.000000
2020-04-17,2.794,2.795,10:27:41,2020-04-17 10:27:41.000000
2020-04-17,2.795,2.794,10:27:44,2020-04-17 10:27:44.000000
2020-04-17,2.7960000000000003,2.795,10:27:56,2020-04-17 10:27:56.000000
2020-04-17,2.795,2.7960000000000003,10:28:00,2020-04-17 10:28:00.000000
2020-04-17,2.7960000000000003,2.795,10:28:05,2020-04-17 10:28:05.000000
2020-04-17,2.797,2.7960000000000003,10:28:20,2020-04-17 10:28:20.000000
2020-04-17,2.798,2.797,10:28:50,2020-04-17 10:28:50.000000
2020-04-17,2.797,2.798,10:29:05,2020-04-17 10:29:05.000000
2020-04-17,2.798,2.797,10:29:20,2020-04-17 10:29:20.000000
2020-04-17,2.797,2.798,10:29:26,2020-04-17 10:29:26.000000
2020-04-17,2.798,2.797,10:29:41,2020-04-17 10:29:41.000000
2020-04-17,2.797,2.798,10:29:44,2020-04-17 10:29:44.000000
2020-04-17,2.7960000000000003,2.797,10:29:51,2020-04-17 10:29:51.000000
2020-04-17,2.797,2.7960000000000003,10:29:56,2020-04-17 10:29:56.000000
2020-04-17,2.7960000000000003,2.797,10:30:35,2020-04-17 10:30:35.000000
2020-04-17,2.795,2.7960000000000003,10:30:44,2020-04-17 10:30:44.000000
2020-04-17,2.7960000000000003,2.795,10:30:51,2020-04-17 10:30:51.000000
2020-04-17,2.795,2.7960000000000003,10:31:05,2020-04-17 10:31:05.000000
2020-04-17,2.7960000000000003,2.795,10:31:12,2020-04-17 10:31:12.000000
2020-04-17,2.795,2.7960000000000003,10:31:26,2020-04-17 10:31:26.000000
2020-04-17,2.7960000000000003,2.795,10:31:35,2020-04-17 10:31:35.000000
2020-04-17,2.797,2.7960000000000003,10:32:12,2020-04-17 10:32:12.000000
2020-04-17,2.798,2.797,10:32:20,2020-04-17 10:32:20.000000
2020-04-17,2.797,2.798,10:32:27,2020-04-17 10:32:27.000000
2020-04-17,2.798,2.797,10:32:44,2020-04-17 10:32:44.000000
2020-04-17,2.799,2.798,10:33:06,2020-04-17 10:33:06.000000
2020-04-17,2.798,2.799,10:33:27,2020-04-17 10:33:27.000000
2020-04-17,2.797,2.798,10:33:42,2020-04-17 10:33:42.000000
2020-04-17,2.7960000000000003,2.797,10:34:51,2020-04-17 10:34:51.000000
2020-04-17,2.795,2.7960000000000003,10:36:12,2020-04-17 10:36:12.000000
2020-04-17,2.7960000000000003,2.795,10:36:14,2020-04-17 10:36:14.000000
2020-04-17,2.795,2.7960000000000003,10:36:20,2020-04-17 10:36:20.000000
2020-04-17,2.7960000000000003,2.795,10:36:30,2020-04-17 10:36:30.000000
2020-04-17,2.795,2.7960000000000003,10:36:51,2020-04-17 10:36:51.000000
2020-04-17,2.7960000000000003,2.795,10:36:56,2020-04-17 10:36:56.000000
2020-04-17,2.795,2.7960000000000003,10:37:06,2020-04-17 10:37:06.000000
2020-04-17,2.794,2.795,10:37:42,2020-04-17 10:37:42.000000
2020-04-17,2.793,2.794,10:38:15,2020-04-17 10:38:15.000000
2020-04-17,2.792,2.793,10:38:45,2020-04-17 10:38:45.000000
2020-04-17,2.793,2.792,10:38:51,2020-04-17 10:38:51.000000
2020-04-17,2.792,2.793,10:38:55,2020-04-17 10:38:55.000000
2020-04-17,2.793,2.792,10:39:06,2020-04-17 10:39:06.000000
2020-04-17,2.792,2.793,10:39:56,2020-04-17 10:39:56.000000
2020-04-17,2.793,2.792,10:40:15,2020-04-17 10:40:15.000000
2020-04-17,2.792,2.793,10:40:26,2020-04-17 10:40:26.000000
2020-04-17,2.793,2.792,10:40:42,2020-04-17 10:40:42.000000
2020-04-17,2.794,2.793,10:41:15,2020-04-17 10:41:15.000000
2020-04-17,2.795,2.794,10:42:15,2020-04-17 10:42:15.000000
2020-04-17,2.794,2.795,10:42:29,2020-04-17 10:42:29.000000
2020-04-17,2.795,2.794,10:42:36,2020-04-17 10:42:36.000000
2020-04-17,2.794,2.795,10:42:57,2020-04-17 10:42:57.000000
2020-04-17,2.795,2.794,10:43:42,2020-04-17 10:43:42.000000
2020-04-17,2.794,2.795,10:43:45,2020-04-17 10:43:45.000000
2020-04-17,2.793,2.794,10:45:06,2020-04-17 10:45:06.000000
2020-04-17,2.792,2.793,10:46:27,2020-04-17 10:46:27.000000
2020-04-17,2.793,2.792,10:46:36,2020-04-17 10:46:36.000000
2020-04-17,2.792,2.793,10:46:45,2020-04-17 10:46:45.000000
2020-04-17,2.7910000000000004,2.792,10:47:27,2020-04-17 10:47:27.000000
2020-04-17,2.792,2.7910000000000004,10:47:30,2020-04-17 10:47:30.000000
2020-04-17,2.7910000000000004,2.792,10:47:57,2020-04-17 10:47:57.000000
2020-04-17,2.792,2.7910000000000004,10:48:06,2020-04-17 10:48:06.000000
2020-04-17,2.7910000000000004,2.792,10:48:21,2020-04-17 10:48:21.000000
2020-04-17,2.792,2.7910000000000004,10:48:36,2020-04-17 10:48:36.000000
2020-04-17,2.7910000000000004,2.792,10:48:45,2020-04-17 10:48:45.000000
2020-04-17,2.792,2.7910000000000004,10:48:51,2020-04-17 10:48:51.000000
2020-04-17,2.7910000000000004,2.792,10:50:15,2020-04-17 10:50:15.000000
2020-04-17,2.79,2.7910000000000004,10:50:42,2020-04-17 10:50:42.000000
2020-04-17,2.789,2.79,10:51:15,2020-04-17 10:51:15.000000
2020-04-17,2.79,2.789,10:51:21,2020-04-17 10:51:21.000000
2020-04-17,2.789,2.79,10:51:27,2020-04-17 10:51:27.000000
