timestamp,iopv,time,date,iopv_lag
2020-04-17 00:15:02.000000,3.792,00:15:02,2020-04-17,
2020-04-17 09:25:01.000000,3.798,09:25:01,2020-04-17,3.792
2020-04-17 00:25:06.000000,3.804,00:25:06,2020-04-17,3.798
2020-04-17 09:25:11.000000,3.82,09:25:11,2020-04-17,3.804
2020-04-17 00:30:04.000000,3.821,00:30:04,2020-04-17,3.82
2020-04-17 00:30:16.000000,3.823,00:30:16,2020-04-17,3.821
2020-04-17 00:30:26.000000,3.824,00:30:26,2020-04-17,3.823
2020-04-17 00:30:31.000000,3.823,00:30:31,2020-04-17,3.824
2020-04-17 00:30:50.000000,3.822,00:30:50,2020-04-17,3.823
2020-04-17 00:30:56.000000,3.821,00:30:56,2020-04-17,3.822
2020-04-17 00:31:02.000000,3.82,00:31:02,2020-04-17,3.821
2020-04-17 00:31:17.000000,3.819,00:31:17,2020-04-17,3.82
2020-04-17 00:31:20.000000,3.818,00:31:20,2020-04-17,3.819
2020-04-17 00:31:35.000000,3.817,00:31:35,2020-04-17,3.818
2020-04-17 00:31:40.000000,3.818,00:31:40,2020-04-17,3.817
2020-04-17 00:31:55.000000,3.819,00:31:55,2020-04-17,3.818
2020-04-17 00:32:35.000000,3.82,00:32:35,2020-04-17,3.819
2020-04-17 00:32:50.000000,3.821,00:32:50,2020-04-17,3.82
2020-04-17 00:33:01.000000,3.82,00:33:01,2020-04-17,3.821
2020-04-17 00:33:05.000000,3.821,00:33:05,2020-04-17,3.82
2020-04-17 00:33:16.000000,3.82,00:33:16,2020-04-17,3.821
2020-04-17 00:33:25.000000,3.819,00:33:25,2020-04-17,3.82
2020-04-17 00:33:35.000000,3.818,00:33:35,2020-04-17,3.819
2020-04-17 00:33:46.000000,3.817,00:33:46,2020-04-17,3.818
2020-04-17 00:33:50.000000,3.818,00:33:50,2020-04-17,3.817
2020-04-17 00:33:55.000000,3.817,00:33:55,2020-04-17,3.818
2020-04-17 00:34:16.000000,3.818,00:34:16,2020-04-17,3.817
2020-04-17 00:34:35.000000,3.817,00:34:35,2020-04-17,3.818
2020-04-17 00:35:05.000000,3.816,00:35:05,2020-04-17,3.817
2020-04-17 00:35:25.000000,3.817,00:35:25,2020-04-17,3.816
2020-04-17 00:35:35.000000,3.816,00:35:35,2020-04-17,3.817
2020-04-17 00:35:40.000000,3.817,00:35:40,2020-04-17,3.816
2020-04-17 00:36:11.000000,3.816,00:36:11,2020-04-17,3.817
2020-04-17 00:36:16.000000,3.815,00:36:16,2020-04-17,3.816
2020-04-17 00:36:31.000000,3.814,00:36:31,2020-04-17,3.815
2020-04-17 00:36:35.000000,3.813,00:36:35,2020-04-17,3.814
2020-04-17 00:36:40.000000,3.814,00:36:40,2020-04-17,3.813
2020-04-17 00:37:10.000000,3.813,00:37:10,2020-04-17,3.814
2020-04-17 00:37:20.000000,3.814,00:37:20,2020-04-17,3.813
2020-04-17 00:37:25.000000,3.813,00:37:25,2020-04-17,3.814
2020-04-17 00:37:31.000000,3.812,00:37:31,2020-04-17,3.813
2020-04-17 00:37:46.000000,3.811,00:37:46,2020-04-17,3.812
2020-04-17 00:37:49.000000,3.812,00:37:49,2020-04-17,3.811
2020-04-17 00:37:56.000000,3.811,00:37:56,2020-04-17,3.812
2020-04-17 00:38:04.000000,3.81,00:38:04,2020-04-17,3.811
2020-04-17 00:38:19.000000,3.811,00:38:19,2020-04-17,3.81
2020-04-17 00:38:34.000000,3.812,00:38:34,2020-04-17,3.811
2020-04-17 00:38:55.000000,3.813,00:38:55,2020-04-17,3.812
2020-04-17 00:39:31.000000,3.814,00:39:31,2020-04-17,3.813
2020-04-17 00:39:41.000000,3.815,00:39:41,2020-04-17,3.814
2020-04-17 00:40:02.000000,3.816,00:40:02,2020-04-17,3.815
2020-04-17 00:40:10.000000,3.815,00:40:10,2020-04-17,3.816
2020-04-17 00:40:17.000000,3.816,00:40:17,2020-04-17,3.815
2020-04-17 00:40:20.000000,3.815,00:40:20,2020-04-17,3.816
2020-04-17 00:40:25.000000,3.814,00:40:25,2020-04-17,3.815
2020-04-17 00:40:35.000000,3.813,00:40:35,2020-04-17,3.814
2020-04-17 00:40:55.000000,3.812,00:40:55,2020-04-17,3.813
2020-04-17 00:41:50.000000,3.811,00:41:50,2020-04-17,3.812
2020-04-17 00:41:56.000000,3.812,00:41:56,2020-04-17,3.811
2020-04-17 00:42:20.000000,3.811,00:42:20,2020-04-17,3.812
2020-04-17 00:42:40.000000,3.81,00:42:40,2020-04-17,3.811
2020-04-17 00:42:46.000000,3.811,00:42:46,2020-04-17,3.81
2020-04-17 00:42:50.000000,3.81,00:42:50,2020-04-17,3.811
2020-04-17 00:43:10.000000,3.809,00:43:10,2020-04-17,3.81
2020-04-17 00:43:25.000000,3.81,00:43:25,2020-04-17,3.809
2020-04-17 00:43:34.000000,3.811,00:43:34,2020-04-17,3.81
2020-04-17 00:43:47.000000,3.812,00:43:47,2020-04-17,3.811
2020-04-17 00:43:50.000000,3.811,00:43:50,2020-04-17,3.812
2020-04-17 00:43:55.000000,3.812,00:43:55,2020-04-17,3.811
2020-04-17 00:44:25.000000,3.813,00:44:25,2020-04-17,3.812
2020-04-17 00:44:35.000000,3.812,00:44:35,2020-04-17,3.813
2020-04-17 00:44:46.000000,3.813,00:44:46,2020-04-17,3.812
2020-04-17 00:45:20.000000,3.814,00:45:20,2020-04-17,3.813
2020-04-17 00:45:26.000000,3.813,00:45:26,2020-04-17,3.814
2020-04-17 00:45:32.000000,3.814,00:45:32,2020-04-17,3.813
2020-04-17 00:45:41.000000,3.813,00:45:41,2020-04-17,3.814
2020-04-17 00:45:50.000000,3.814,00:45:50,2020-04-17,3.813
2020-04-17 00:46:11.000000,3.815,00:46:11,2020-04-17,3.814
2020-04-17 00:46:26.000000,3.816,00:46:26,2020-04-17,3.815
2020-04-17 00:46:40.000000,3.817,00:46:40,2020-04-17,3.816
2020-04-17 00:46:46.000000,3.818,00:46:46,2020-04-17,3.817
2020-04-17 00:47:01.000000,3.819,00:47:01,2020-04-17,3.818
2020-04-17 00:47:05.000000,3.82,00:47:05,2020-04-17,3.819
2020-04-17 00:47:11.000000,3.822,00:47:11,2020-04-17,3.82
2020-04-17 00:47:16.000000,3.823,00:47:16,2020-04-17,3.822
2020-04-17 00:47:20.000000,3.824,00:47:20,2020-04-17,3.823
2020-04-17 00:48:11.000000,3.826,00:48:11,2020-04-17,3.824
2020-04-17 00:48:56.000000,3.828,00:48:56,2020-04-17,3.826
2020-04-17 00:49:11.000000,3.829,00:49:11,2020-04-17,3.828
2020-04-17 00:49:35.000000,3.828,00:49:35,2020-04-17,3.829
2020-04-17 00:49:41.000000,3.829,00:49:41,2020-04-17,3.828
2020-04-17 00:49:47.000000,3.828,00:49:47,2020-04-17,3.829
2020-04-17 00:49:56.000000,3.827,00:49:56,2020-04-17,3.828
2020-04-17 00:50:17.000000,3.828,00:50:17,2020-04-17,3.827
2020-04-17 00:50:41.000000,3.827,00:50:41,2020-04-17,3.828
2020-04-17 00:50:46.000000,3.828,00:50:46,2020-04-17,3.827
2020-04-17 00:51:02.000000,3.827,00:51:02,2020-04-17,3.828
2020-04-17 00:51:17.000000,3.826,00:51:17,2020-04-17,3.827
2020-04-17 00:51:56.000000,3.825,00:51:56,2020-04-17,3.826
2020-04-17 00:52:02.000000,3.826,00:52:02,2020-04-17,3.825
2020-04-17 00:52:26.000000,3.825,00:52:26,2020-04-17,3.826
2020-04-17 00:52:32.000000,3.826,00:52:32,2020-04-17,3.825
2020-04-17 00:52:41.000000,3.827,00:52:41,2020-04-17,3.826
2020-04-17 00:53:02.000000,3.828,00:53:02,2020-04-17,3.827
2020-04-17 00:53:05.000000,3.827,00:53:05,2020-04-17,3.828
2020-04-17 00:53:11.000000,3.828,00:53:11,2020-04-17,3.827
2020-04-17 00:53:32.000000,3.827,00:53:32,2020-04-17,3.828
2020-04-17 00:53:47.000000,3.826,00:53:47,2020-04-17,3.827
2020-04-17 00:54:05.000000,3.825,00:54:05,2020-04-17,3.826
2020-04-17 00:54:11.000000,3.826,00:54:11,2020-04-17,3.825
2020-04-17 00:54:32.000000,3.825,00:54:32,2020-04-17,3.826
2020-04-17 00:54:41.000000,3.824,00:54:41,2020-04-17,3.825
2020-04-17 00:55:17.000000,3.823,00:55:17,2020-04-17,3.824
2020-04-17 00:55:20.000000,3.824,00:55:20,2020-04-17,3.823
2020-04-17 00:55:50.000000,3.825,00:55:50,2020-04-17,3.824
2020-04-17 00:56:02.000000,3.826,00:56:02,2020-04-17,3.825
2020-04-17 00:56:05.000000,3.825,00:56:05,2020-04-17,3.826
2020-04-17 00:56:26.000000,3.826,00:56:26,2020-04-17,3.825
2020-04-17 00:56:41.000000,3.827,00:56:41,2020-04-17,3.826
2020-04-17 00:57:02.000000,3.828,00:57:02,2020-04-17,3.827
2020-04-17 00:57:17.000000,3.829,00:57:17,2020-04-17,3.828
2020-04-17 00:57:26.000000,3.828,00:57:26,2020-04-17,3.829
2020-04-17 00:57:32.000000,3.829,00:57:32,2020-04-17,3.828
2020-04-17 00:58:26.000000,3.83,00:58:26,2020-04-17,3.829
2020-04-17 00:59:32.000000,3.829,00:59:32,2020-04-17,3.83
2020-04-17 00:59:41.000000,3.83,00:59:41,2020-04-17,3.829
2020-04-17 00:59:47.000000,3.829,00:59:47,2020-04-17,3.83
2020-04-17 00:59:56.000000,3.83,00:59:56,2020-04-17,3.829
2020-04-17 00:00:02.000000,3.829,00:00:02,2020-04-17,3.83
2020-04-17 00:00:11.000000,3.83,00:00:11,2020-04-17,3.829
2020-04-17 00:00:17.000000,3.829,00:00:17,2020-04-17,3.83
2020-04-17 00:00:20.000000,3.83,00:00:20,2020-04-17,3.829
2020-04-17 00:00:32.000000,3.829,00:00:32,2020-04-17,3.83
2020-04-17 00:00:50.000000,3.828,00:00:50,2020-04-17,3.829
2020-04-17 00:01:02.000000,3.827,00:01:02,2020-04-17,3.828
2020-04-17 00:01:05.000000,3.826,00:01:05,2020-04-17,3.827
2020-04-17 00:01:11.000000,3.825,00:01:11,2020-04-17,3.826
2020-04-17 00:01:17.000000,3.824,00:01:17,2020-04-17,3.825
2020-04-17 00:01:20.000000,3.823,00:01:20,2020-04-17,3.824
2020-04-17 00:01:32.000000,3.822,00:01:32,2020-04-17,3.823
2020-04-17 00:01:35.000000,3.821,00:01:35,2020-04-17,3.822
2020-04-17 00:01:56.000000,3.82,00:01:56,2020-04-17,3.821
2020-04-17 00:02:17.000000,3.819,00:02:17,2020-04-17,3.82
2020-04-17 00:02:26.000000,3.82,00:02:26,2020-04-17,3.819
2020-04-17 00:02:41.000000,3.821,00:02:41,2020-04-17,3.82
2020-04-17 00:03:02.000000,3.822,00:03:02,2020-04-17,3.821
2020-04-17 00:03:11.000000,3.823,00:03:11,2020-04-17,3.822
2020-04-17 00:03:17.000000,3.822,00:03:17,2020-04-17,3.823
2020-04-17 00:03:26.000000,3.823,00:03:26,2020-04-17,3.822
2020-04-17 00:03:32.000000,3.825,00:03:32,2020-04-17,3.823
2020-04-17 00:03:47.000000,3.826,00:03:47,2020-04-17,3.825
2020-04-17 00:03:56.000000,3.827,00:03:56,2020-04-17,3.826
2020-04-17 00:04:02.000000,3.828,00:04:02,2020-04-17,3.827
2020-04-17 00:04:05.000000,3.829,00:04:05,2020-04-17,3.828
2020-04-17 00:04:17.000000,3.83,00:04:17,2020-04-17,3.829
2020-04-17 00:04:20.000000,3.831,00:04:20,2020-04-17,3.83
2020-04-17 00:04:26.000000,3.83,00:04:26,2020-04-17,3.831
