timestamp,iopv,time,date,iopv_lag
2020-04-27 09:15:01.651,2.764,09:15:01.651000,2020-04-27,
2020-04-27 09:25:09.000,2.773,09:25:09,2020-04-27,2.764
2020-04-27 09:25:09.000,2.774,09:25:09,2020-04-27,2.773
2020-04-27 09:30:07.021,2.776,09:30:07.021000,2020-04-27,2.774
2020-04-27 09:30:16.621,2.777,09:30:16.621000,2020-04-27,2.776
2020-04-27 09:30:28.630,2.778,09:30:28.630000,2020-04-27,2.777
2020-04-27 09:30:37.611,2.777,09:30:37.611000,2020-04-27,2.778
2020-04-27 09:31:13.631,2.776,09:31:13.631000,2020-04-27,2.777
2020-04-27 09:31:43.640,2.777,09:31:43.640000,2020-04-27,2.776
2020-04-27 09:31:52.631,2.778,09:31:52.631000,2020-04-27,2.777
2020-04-27 09:31:58.631,2.779,09:31:58.631000,2020-04-27,2.778
2020-04-27 09:32:31.621,2.778,09:32:31.621000,2020-04-27,2.779
2020-04-27 09:33:01.610,2.779,09:33:01.610000,2020-04-27,2.778
2020-04-27 09:33:07.621,2.778,09:33:07.621000,2020-04-27,2.779
2020-04-27 09:33:52.630,2.777,09:33:52.630000,2020-04-27,2.778
2020-04-27 09:34:07.610,2.776,09:34:07.610000,2020-04-27,2.777
2020-04-27 09:34:16.590,2.777,09:34:16.590000,2020-04-27,2.776
2020-04-27 09:34:22.641,2.776,09:34:22.641000,2020-04-27,2.777
2020-04-27 09:34:28.621,2.777,09:34:28.621000,2020-04-27,2.776
2020-04-27 09:34:31.641,2.776,09:34:31.641000,2020-04-27,2.777
2020-04-27 09:34:37.631,2.777,09:34:37.631000,2020-04-27,2.776
2020-04-27 09:34:43.640,2.776,09:34:43.640000,2020-04-27,2.777
2020-04-27 09:34:52.641,2.777,09:34:52.641000,2020-04-27,2.776
2020-04-27 09:34:58.631,2.776,09:34:58.631000,2020-04-27,2.777
2020-04-27 09:35:07.640,2.777,09:35:07.640000,2020-04-27,2.776
2020-04-27 09:35:13.640,2.776,09:35:13.640000,2020-04-27,2.777
2020-04-27 09:35:16.641,2.777,09:35:16.641000,2020-04-27,2.776
